Callsign,Code,Number,AirlineCode,AirportCodes
ANT473,ANT,473,ANT,CYVR-CYCD-CYLW-CYXS-CYQH-CYXY
ANT474,ANT,474,ANT,CYXY-CYQH-CYXS-CYLW-CYCD-CYVR
ANT505,ANT,505,ANT,CYXY-CYVR
ANT506,ANT,506,ANT,CYVR-CYXY
ANT510,ANT,510,ANT,CYLW-CYVR-CYXY
ANT511,ANT,511,ANT,CYXY-CYVR-CYYJ
ANT527,ANT,527,ANT,CYXY-CYYC
ANT534,ANT,534,ANT,CYVR-CYXY
ANT535,ANT,535,ANT,CYXY-CYVR
ANT538,ANT,538,ANT,CYXY-CYYJ-CYVR-CYXY
ANT541,ANT,541,ANT,CYXY-CYVR-CYYJ
ANT544,ANT,544,ANT,CYVR-CYXY
ANT547,ANT,547,ANT,CYLW-CYXY-CYYJ
ANT563,ANT,563,ANT,CYXY-CYVR
ANT574,ANT,574,ANT,CYVR-CYXY
ANT578,ANT,578,ANT,CYYJ-CYVR-CYXY
ANT7011,ANT,7011,ANT,CYVR-CZMT
ANT702,ANT,702,ANT,CYXY-CYEG-CYYC-CYXY
ANT722,ANT,722,ANT,CYEG-CYYC-CYXY
ANT741,ANT,741,ANT,CYXY-CYYC-CYEG-CYXY
ANT751,ANT,751,ANT,CYXY-CYYC-CYEG-CYXY
ANT761,ANT,761,ANT,CYXY-CYYC-CYEG-CYXY
