Callsign,Code,Number,AirlineCode,AirportCodes
FBZ5000,FBZ,5000,FBZ,SADP-SACO
FBZ5002,FBZ,5002,FBZ,SADP-SACO
FBZ5013,FBZ,5013,FBZ,SACO-SADP
FBZ5014,FBZ,5014,FBZ,SABE-SACO
FBZ5015,FBZ,5015,FBZ,SACO-SABE
FBZ5016,FBZ,5016,FBZ,SABE-SACO
FBZ5017,FBZ,5017,FBZ,SACO-SABE
FBZ5018,FBZ,5018,FBZ,SABE-SACO
FBZ5019,FBZ,5019,FBZ,SACO-SABE
FBZ5020,FBZ,5020,FBZ,SABE-SACO
FBZ5021,FBZ,5021,FBZ,SACO-SABE
FBZ5034,FBZ,5034,FBZ,SADP-SAZB
FBZ5035,FBZ,5035,FBZ,SAZB-SADP
FBZ5042,FBZ,5042,FBZ,SAEZ-SAWH
FBZ5043,FBZ,5043,FBZ,SAWH-SABE
FBZ5045,FBZ,5045,FBZ,SAWH-SAEZ
FBZ5050,FBZ,5050,FBZ,SABE-SAME
FBZ5051,FBZ,5051,FBZ,SAME-SABE
FBZ5052,FBZ,5052,FBZ,SABE-SAME
FBZ5053,FBZ,5053,FBZ,SAME-SABE
FBZ5054,FBZ,5054,FBZ,SABE-SAME
FBZ5055,FBZ,5055,FBZ,SABE-SAME-SABE
FBZ5056,FBZ,5056,FBZ,SABE-SAME
FBZ5057,FBZ,5057,FBZ,SAME-SABE
FBZ5058,FBZ,5058,FBZ,SABE-SAME
FBZ5059,FBZ,5059,FBZ,SAME-SABE
FBZ5060,FBZ,5060,FBZ,SABE-SAME
FBZ5061,FBZ,5061,FBZ,SAME-SABE
FBZ5062,FBZ,5062,FBZ,SAEZ-SAME
FBZ5063,FBZ,5063,FBZ,SAME-SADP
FBZ5065,FBZ,5065,FBZ,SAME-SABE
FBZ5066,FBZ,5066,FBZ,SABE-SAME
FBZ5067,FBZ,5067,FBZ,SAME-SABE
FBZ5071,FBZ,5071,FBZ,SAME-SADP
FBZ5072,FBZ,5072,FBZ,SADP-SAME
FBZ5091,FBZ,5091,FBZ,SARI-SADP
FBZ5100,FBZ,5100,FBZ,SABE-SARI
FBZ5101,FBZ,5101,FBZ,SARI-SABE
FBZ5102,FBZ,5102,FBZ,SABE-SARI
FBZ5103,FBZ,5103,FBZ,SARI-SABE
FBZ5104,FBZ,5104,FBZ,SABE-SARI
FBZ5105,FBZ,5105,FBZ,SARI-SABE
FBZ5106,FBZ,5106,FBZ,SABE-SARI
FBZ5108,FBZ,5108,FBZ,SABE-SARI
FBZ5109,FBZ,5109,FBZ,SARI-SAEZ
FBZ5111,FBZ,5111,FBZ,SARI-SAEZ
FBZ5120,FBZ,5120,FBZ,SABE-SARP
FBZ5121,FBZ,5121,FBZ,SARP-SABE
FBZ5122,FBZ,5122,FBZ,SABE-SARP
FBZ5123,FBZ,5123,FBZ,SARP-SABE
FBZ5124,FBZ,5124,FBZ,SADP-SARP
FBZ5141,FBZ,5141,FBZ,SARC-SADP
FBZ5144,FBZ,5144,FBZ,SADP-SARC
FBZ5145,FBZ,5145,FBZ,SARC-SADP
FBZ5146,FBZ,5146,FBZ,SADP-SARC
FBZ5150,FBZ,5150,FBZ,SABE-SARC
FBZ5151,FBZ,5151,FBZ,SARC-SABE
FBZ5152,FBZ,5152,FBZ,SABE-SARC
FBZ5153,FBZ,5153,FBZ,SARC-SABE
FBZ5160,FBZ,5160,FBZ,SABE-SASA
FBZ5161,FBZ,5161,FBZ,SASA-SABE
FBZ5162,FBZ,5162,FBZ,SABE-SASA
FBZ5163,FBZ,5163,FBZ,SASA-SAEZ
FBZ5164,FBZ,5164,FBZ,SABE-SASA
FBZ5165,FBZ,5165,FBZ,SASA-SAEZ
FBZ5166,FBZ,5166,FBZ,SABE-SASA
FBZ5167,FBZ,5167,FBZ,SASA-SAEZ
FBZ5168,FBZ,5168,FBZ,SABE-SASA
FBZ5169,FBZ,5169,FBZ,SASA-SABE
FBZ5190,FBZ,5190,FBZ,SABE-SASJ
FBZ5191,FBZ,5191,FBZ,SASJ-SAEZ
FBZ5192,FBZ,5192,FBZ,SAEZ-SASJ
FBZ5193,FBZ,5193,FBZ,SASJ-SABE
FBZ5194,FBZ,5194,FBZ,SABE-SASJ
FBZ5195,FBZ,5195,FBZ,SASJ-SABE
FBZ5197,FBZ,5197,FBZ,SASJ-SAEZ
FBZ5200,FBZ,5200,FBZ,SABE-SANT
FBZ5220,FBZ,5220,FBZ,SABE-SANT
FBZ5221,FBZ,5221,FBZ,SANT-SABE
FBZ5222,FBZ,5222,FBZ,SABE-SANT
FBZ5223,FBZ,5223,FBZ,SANT-SABE
FBZ5224,FBZ,5224,FBZ,SAEZ-SANT
FBZ5225,FBZ,5225,FBZ,SANT-SABE
FBZ5230,FBZ,5230,FBZ,SABE-SANE
FBZ5231,FBZ,5231,FBZ,SANE-SABE
FBZ5236,FBZ,5236,FBZ,SAEZ-SAZS
FBZ5237,FBZ,5237,FBZ,SAZS-SABE
FBZ5238,FBZ,5238,FBZ,SABE-SAZS
FBZ5239,FBZ,5239,FBZ,SAZS-SABE
FBZ5240,FBZ,5240,FBZ,SAEZ-SAZS
FBZ5241,FBZ,5241,FBZ,SAZS-SABE
FBZ5243,FBZ,5243,FBZ,SAZS-SADP
FBZ5250,FBZ,5250,FBZ,SADP-SAZS
FBZ5270,FBZ,5270,FBZ,SABE-SAZS
FBZ5271,FBZ,5271,FBZ,SAZS-SAEZ
FBZ5272,FBZ,5272,FBZ,SABE-SAZS
FBZ5273,FBZ,5273,FBZ,SAZS-SABE
FBZ5274,FBZ,5274,FBZ,SABE-SAZS
FBZ5275,FBZ,5275,FBZ,SAZS-SAEZ
FBZ5276,FBZ,5276,FBZ,SABE-SAZS
FBZ5277,FBZ,5277,FBZ,SAZS-SABE
FBZ5278,FBZ,5278,FBZ,SABE-SAZS
FBZ5280,FBZ,5280,FBZ,SABE-SAZS
FBZ5281,FBZ,5281,FBZ,SAZS-SAEZ
FBZ5282,FBZ,5282,FBZ,SABE-SAZS
FBZ5283,FBZ,5283,FBZ,SAZS-SAEZ
FBZ5300,FBZ,5300,FBZ,SABE-SAZN
FBZ5301,FBZ,5301,FBZ,SAZN-SABE
FBZ5303,FBZ,5303,FBZ,SAZN-SABE
FBZ5304,FBZ,5304,FBZ,SABE-SAZN
FBZ5305,FBZ,5305,FBZ,SAZN-SABE
FBZ5310,FBZ,5310,FBZ,SABE-SAVT
FBZ5311,FBZ,5311,FBZ,SAVY-SABE
FBZ5322,FBZ,5322,FBZ,SABE-SAVY
FBZ5323,FBZ,5323,FBZ,SAVY-SABE
FBZ5401,FBZ,5401,FBZ,SAME-SACO
FBZ5403,FBZ,5403,FBZ,SAME-SACO
