Callsign,Code,Number,AirlineCode,AirportCodes
MBU6002,MBU,6002,MBU,EDDH-HEGN
MBU6003,MBU,6003,MBU,HEGN-EDDH
MBU6298,MBU,6298,MBU,EDDH-LGPZ
MBU6299,MBU,6299,MBU,LGPZ-EDDH
MBU6304,MBU,6304,MBU,EDDH-LPFR
MBU6305,MBU,6305,MBU,LPFR-EDDH
MBU6377,MBU,6377,MBU,LGZA-EDDH
MBU6564,MBU,6564,MBU,EDDH-LEJR
MBU6632,MBU,6632,MBU,EDDH-LGKR
MBU6633,MBU,6633,MBU,LGKR-EDDH
MBU6640,MBU,6640,MBU,EDDH-LGKO
MBU6645,MBU,6645,MBU,LGRP-EDDH
MBU6686,MBU,6686,MBU,EDDH-LGIR
MBU6687,MBU,6687,MBU,LGIR-EDDH
MBU6734,MBU,6734,MBU,EDDH-LGSA
MBU6735,MBU,6735,MBU,LGSA-EDDH
