Callsign,Code,Number,AirlineCode,AirportCodes
MGL131,MGL,131,MGL,ZMUB-UUEE
MGL132,MGL,132,MGL,UUEE-ZMUB
MGL133,MGL,133,MGL,ZMUB-EDDT
MGL134,MGL,134,MGL,EDDT-ZMUB
MGL135,MGL,135,MGL,ZMUB-UUEE-EDDT
MGL136,MGL,136,MGL,EDDT-UUEE-ZMUB
MGL137,MGL,137,MGL,ZMCK-EDDF
MGL1371,MGL,1371,MGL,ZMUB-USSS
MGL1372,MGL,1372,MGL,EDDF-USSS-ZMCK
MGL138,MGL,138,MGL,EDDF-UUEE-ZMCK
MGL161,MGL,161,MGL,ZMCK-LTFM
MGL162,MGL,162,MGL,LTFM-ZMCK
MGL223,MGL,223,MGL,ZMUB-ZBAA
MGL227,MGL,227,MGL,ZMCK-ZBAA
MGL297,MGL,297,MGL,ZMUB-VHHH
MGL2971,MGL,2971,MGL,ZMUB-VHHH
MGL2972,MGL,2972,MGL,VHHH-ZMUB
MGL298,MGL,298,MGL,VHHH-ZMUB
MGL302,MGL,302,MGL,RKSI-ZMCK
MGL3135,MGL,3135,MGL,ZMUB-EDDB
MGL3136,MGL,3136,MGL,EDDB-ZMUB
MGL3137,MGL,3137,MGL,ZMCK-UUEE-EDDB
MGL3138,MGL,3138,MGL,EDDB-UUEE-ZMCK
MGL3143,MGL,3143,MGL,ZMUB-EHAM
MGL3162,MGL,3162,MGL,UATT-ZMCK
MGL501,MGL,501,MGL,ZMUB-RJAA
MGL5012,MGL,5012,MGL,RJAA-ZMUB
MGL502,MGL,502,MGL,RJAA-ZMUB
MGL503,MGL,503,MGL,ZMUB-RJAA
MGL504,MGL,504,MGL,RJAA-ZMUB
MGL701,MGL,701,MGL,ZMUB-VTBS
MGL702,MGL,702,MGL,VTBS-ZMUB
MGL704,MGL,704,MGL,VTBS-ZMCK
MGL7131,MGL,7131,MGL,ZMUB-UUEE
MGL7132,MGL,7132,MGL,UUEE-ZMUB
MGL7137,MGL,7137,MGL,ZMUB-EDDF
MGL7138,MGL,7138,MGL,EDDF-ZMUB
MGL7140,MGL,7140,MGL,EDDF-ZMUB
MGL7145,MGL,7145,MGL,ZMUB-LFPG
MGL7146,MGL,7146,MGL,LFPG-ZMUB
MGL7186,MGL,7186,MGL,YBBN-YPDN-WSSS-VVNB
MGL7302,MGL,7302,MGL,RKSI-ZMUB
MGL7310,MGL,7310,MGL,RKSI-ZMCK
MGL7783,MGL,7783,MGL,ZMUB-VECC
MGL9507,MGL,9507,MGL,ZMUB-RJTT
MGL9508,MGL,9508,MGL,RJTT-ZMUB
