ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ACF0D8,N933AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,44098,2022
ACF131,N933DZ,B739,Boeing,737-9GP(ER),Boeing 737-9GP(ER),0,Delta Air Lines,DAL,37288,2011
ACF1AC,N933JX,E145,Embraer,ERJ-145LR,Embraer ERJ-145LR,0,JSX,JSX,145511,2001
ACF48F,N934AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,43374,2022
ACF54D,N934J,GL5T,Bombardier,Global 5000,Bombardier Global 5000,1,Private,,9398,2010
ACF846,N935AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,44077,2022
ACFA33,N935WC,SR22,Cirrus,SR22,Cirrus SR22,1,Private,,9355,2023
ACFBFD,N936AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,43379,2022
ACFC26,N936CA,B744,Boeing,747-446(BCF),Boeing 747-446(BCF),0,National Airlines,NCR,25308,1991
ACFC8A,N936GA,G280,Gulfstream Aerospace,G280,Gulfstream Aerospace G280,1,Private,,2236,
ACFD29,N936NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,10316,2021
ACFFB4,N937AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,44100,2022
ACFFBE,N937AV,A20N,Airbus,A320-251N,Airbus A320-251N,0,Avianca,AVA,10394,2021
