Callsign,Code,Number,AirlineCode,AirportCodes
TJT1272,TJT,1272,TJT,LSZH-LFLL
TJT1277,TJT,1277,TJT,LFLL-LSZH
TJT1278,TJT,1278,TJT,LSZH-LFLL
TJT1511,TJT,1511,TJT,LFML-LFBO
TJT1515,TJT,1515,TJT,LFML-LFBO
TJT1516,TJT,1516,TJT,LFBO-LFML
TJT15VB,TJT,15VB,TJT,LFML-LFBO
TJT1611,TJT,1611,TJT,LFQQ-LFST
TJT1612,TJT,1612,TJT,LFST-LFQQ
TJT1617,TJT,1617,TJT,LFQQ-LFST
TJT1618,TJT,1618,TJT,LFST-LFQQ
TJT1914,TJT,1914,TJT,LFRB-LFQQ
TJT22KZ,TJT,22KZ,TJT,LFML-LFJL
TJT25HY,TJT,25HY,TJT,LFJL-LFML
TJT2617,TJT,2617,TJT,LFJL-LFLL
TJT26KZ,TJT,26KZ,TJT,LFML-LFJL
TJT27RC,TJT,27RC,TJT,LFML-LFST
TJT32CQ,TJT,32CQ,TJT,LFBO-LFJL
TJT35LX,TJT,35LX,TJT,LFJL-LFBO
TJT37,TJT,37,TJT,LFBO-EDNY
TJT37DR,TJT,37DR,TJT,LFBO-LFRN
TJT37WP,TJT,37WP,TJT,LFRN-LFBO
TJT41JD,TJT,41JD,TJT,LFLL-EDDS
TJT42NL,TJT,42NL,TJT,EDDS-LFLL
TJT458B,TJT,458B,TJT,LPFR-LEBL
TJT47,TJT,47,TJT,LFLL-EDDS
TJT47BM,TJT,47BM,TJT,LFLL-EDDS
TJT48,TJT,48,TJT,EDDS-LFLL
TJT48AJ,TJT,48AJ,TJT,EDDS-LFLL
TJT51,TJT,51,TJT,EDDN-EDDW
TJT51AL,TJT,51AL,TJT,LFLL-LIMC
TJT52,TJT,52,TJT,EDDW-EDDN
TJT52CB,TJT,52CB,TJT,LIMC-LFLL
TJT52DP,TJT,52DP,TJT,LFOH-LFLL
TJT57AL,TJT,57AL,TJT,LFLL-LIMC
TJT57TV,TJT,57TV,TJT,LFLL-LFOH
TJT58CB,TJT,58CB,TJT,LIMC-LFLL
TJT58DP,TJT,58DP,TJT,LFOH-LFLL
TJT6615,TJT,6615,TJT,LFLL-LIPE
TJT6616,TJT,6616,TJT,LIPE-LFLL
TJT67AL,TJT,67AL,TJT,LFML-LFBT
TJT68CB,TJT,68CB,TJT,LFBP-LFML
TJT8511,TJT,8511,TJT,LFLL-LFQQ
TJT8517,TJT,8517,TJT,LFLL-LFQQ
TJT8518,TJT,8518,TJT,LFQQ-LFLL
TJT87MK,TJT,87MK,TJT,LFHP-LFPO
TJT88XP,TJT,88XP,TJT,LFPO-LFHP
TJT91SZ,TJT,91SZ,TJT,LFML-LIMC
TJT95SZ,TJT,95SZ,TJT,LFML-LIMC
TJT973A,TJT,973A,TJT,LFPB-EGFF
