Callsign,Code,Number,AirlineCode,AirportCodes
TDR131,TDR,131,TDR,LJLJ-LGZA
TDR132,TDR,132,TDR,LGZA-LJLJ
TDR152,TDR,152,TDR,LTAI-LJLJ
TDR155,TDR,155,TDR,LJLJ-LTAI
TDR156,TDR,156,TDR,LTAI-LJLJ
TDR1711,TDR,1711,TDR,BKPR-EDDS
TDR1712,TDR,1712,TDR,EDDS-BKPR
TDR172,TDR,172,TDR,LGRP-LJLJ
TDR1804,TDR,1804,TDR,BKPR-LFSB
TDR1806,TDR,1806,TDR,BKPR-LFSB
TDR1807,TDR,1807,TDR,LFSB-BKPR
TDR1808,TDR,1808,TDR,BKPR-LFSB
TDR1809,TDR,1809,TDR,LFSB-BKPR
TDR1810,TDR,1810,TDR,BKPR-LFSB
TDR1811,TDR,1811,TDR,LFSB-BKPR
TDR2011,TDR,2011,TDR,BKPR-ESMS
TDR2012,TDR,2012,TDR,ESMS-BKPR
TDR2020,TDR,2020,TDR,BKPR-ESGG
TDR2021,TDR,2021,TDR,ESGG-BKPR
TDR2204,TDR,2204,TDR,EDDM-BKPR
TDR2206,TDR,2206,TDR,EDDM-BKPR
TDR2504,TDR,2504,TDR,BKPR-EDDL
TDR2505,TDR,2505,TDR,EDDL-BKPR
TDR361,TDR,361,TDR,EDDK-LEPA
TDR362,TDR,362,TDR,LEPA-EDDH
TDR363,TDR,363,TDR,EDDH-LEPA
TDR364,TDR,364,TDR,LEPA-EDDK
TDR366,TDR,366,TDR,EDDB-LIPQ
TDR368,TDR,368,TDR,EDDH-LIPQ
TDR369,TDR,369,TDR,EDDB-LMML
TDR370,TDR,370,TDR,LMML-EDDH
TDR371,TDR,371,TDR,EDDH-LMML
TDR372,TDR,372,TDR,LMML-EDDB
TDR511,TDR,511,TDR,LJLJ-OJAQ
TDR521,TDR,521,TDR,LJLJ-EHAM
TDR522,TDR,522,TDR,EHAM-LJLJ
TDR581,TDR,581,TDR,LJLJ-BIKF
TDR582,TDR,582,TDR,BIKF-LJLJ
TDR6000,TDR,6000,TDR,BKPR-EDLW
TDR6001,TDR,6001,TDR,EDLW-BKPR
TDR6969,TDR,6969,TDR,BKPR-EDDW
TDR6970,TDR,6970,TDR,EDDW-BKPR
TDR702,TDR,702,TDR,LGRP-LFPG
TDR706,TDR,706,TDR,EFRO-LIMC
TDR811,TDR,811,TDR,LDOS-LDZA
TDR812,TDR,812,TDR,LDZA-LDOS
TDR813,TDR,813,TDR,LDOS-LDZA
TDR814,TDR,814,TDR,LDZA-LDOS
TDR815,TDR,815,TDR,LDOS-LDPL-LDSP
TDR818,TDR,818,TDR,LDSP-LDPL-LDOS
TDR821,TDR,821,TDR,LDRI-LDSP-LDDU
TDR822,TDR,822,TDR,LDDU-LDSP-LDRI
TDR825,TDR,825,TDR,LDOS-LDZD-LDRI
TDR826,TDR,826,TDR,LDRI-LDZD-LDOS
TDR9361,TDR,9361,TDR,LJLJ-EDDK
