Callsign,Code,Number,AirlineCode,AirportCodes
CTJ3801,CTJ,3801,CTJ,ZSQD-ZGGG
CTJ3802,CTJ,3802,CTJ,ZGGG-ZSQD
CTJ3803,CTJ,3803,CTJ,ZBAD-ZSWX-ZSWA
CTJ3805,CTJ,3805,CTJ,ZGSZ-ZHCC
CTJ3806,CTJ,3806,CTJ,ZSQZ-ZSWX-ZBTJ
CTJ3807,CTJ,3807,CTJ,ZSQD-RJBB
CTJ3808,CTJ,3808,CTJ,RJBB-ZSQD
CTJ3818,CTJ,3818,CTJ,WSSS-ZGNN
CTJ3819,CTJ,3819,CTJ,ZGNN-VVTS
CTJ3820,CTJ,3820,CTJ,VVTS-ZGNN
CTJ3822,CTJ,3822,CTJ,VGHS-ZGNN
CTJ3829,CTJ,3829,CTJ,ZGNN-RPLL
CTJ3830,CTJ,3830,CTJ,RPLL-ZGNN
CTJ3831,CTJ,3831,CTJ,ZGNN-RPLL
CTJ3832,CTJ,3832,CTJ,RPLL-ZGNN
CTJ3843,CTJ,3843,CTJ,ZBAD-ZSNT-ZSWA
CTJ3849,CTJ,3849,CTJ,ZSQD-ZSHC
CTJ3850,CTJ,3850,CTJ,ZSHC-ZSQD
CTJ3851,CTJ,3851,CTJ,ZSNB-RJBB
CTJ3852,CTJ,3852,CTJ,RJBB-ZSNB
CTJ3853,CTJ,3853,CTJ,ZSPD-RJBB
CTJ3854,CTJ,3854,CTJ,RJBB-ZSPD
CTJ3855,CTJ,3855,CTJ,ZSQD-ZSHC
CTJ3856,CTJ,3856,CTJ,ZSHC-ZSQD
CTJ3860,CTJ,3860,CTJ,ZSPD-ZSQD
