Callsign,Code,Number,AirlineCode,AirportCodes
CLG11QV,CLG,11QV,CLG,LFBD-LFRS
CLG120,CLG,120,CLG,LFBL-LFPO
CLG121,CLG,121,CLG,LFPO-LFBL
CLG124,CLG,124,CLG,LFBL-LFPO
CLG125,CLG,125,CLG,LFPO-LFBL
CLG24UE,CLG,24UE,CLG,LFMT-LFBD
CLG2904,CLG,2904,CLG,LFPO-LFRB
CLG2907,CLG,2907,CLG,LFRB-LFPO
CLG2908,CLG,2908,CLG,LFPO-LFRB
CLG291,CLG,291,CLG,LFRQ-LFPO
CLG292,CLG,292,CLG,LFPO-LFRQ
CLG293,CLG,293,CLG,LFRQ-LFPO
CLG294,CLG,294,CLG,LFPO-LFRQ
CLG295,CLG,295,CLG,LFRQ-LFPO
CLG32EE,CLG,32EE,CLG,LFBD-LFRN
CLG32QE,CLG,32QE,CLG,LFBD-LFRN
CLG33JO,CLG,33JO,CLG,LFRN-LFBD
CLG33ZO,CLG,33ZO,CLG,LFRN-LFBD
CLG34EE,CLG,34EE,CLG,LFBD-LFRN
CLG34QE,CLG,34QE,CLG,LFBD-LFRN
CLG41NF,CLG,41NF,CLG,LFBD-LFRB
CLG42AE,CLG,42AE,CLG,LFRB-LFBD
CLG42QE,CLG,42QE,CLG,LFRB-LFBD
CLG43NF,CLG,43NF,CLG,LFBD-LFRB
CLG44AE,CLG,44AE,CLG,LFRB-LFBD
CLG44QE,CLG,44QE,CLG,LFRB-LFBD
CLG45NF,CLG,45NF,CLG,LFBD-LFRB
CLG46AE,CLG,46AE,CLG,LFRB-LFBD
CLG46QE,CLG,46QE,CLG,LFRB-LFBD
CLG470,CLG,470,CLG,LFBA-LFBE-LFMN
CLG52NF,CLG,52NF,CLG,LFRK-LFBD
CLG607E,CLG,607E,CLG,LFRN-LFRK
CLG61QV,CLG,61QV,CLG,LFRS-LFBP
CLG710,CLG,710,CLG,LFBA-LFPO
CLG711,CLG,711,CLG,LFPO-LFBA
CLG714,CLG,714,CLG,LFBA-LFPO
CLG715,CLG,715,CLG,LFPO-LFBA
CLG71TG,CLG,71TG,CLG,LFBL-LFLL
CLG72CJ,CLG,72CJ,CLG,LFLL-LFBL
CLG73TG,CLG,73TG,CLG,LFBL-LFLL
CLG74CJ,CLG,74CJ,CLG,LFLL-LFBL
CLG75,CLG,75,CLG,LFBL-LFLL
CLG75TG,CLG,75TG,CLG,LFBL-LFLL
CLG76CJ,CLG,76CJ,CLG,LFLL-LFBL
CLG8106,CLG,8106,CLG,LFPO-LFCK
CLG811,CLG,811,CLG,LFBH-LFBI-LFLL
CLG812,CLG,812,CLG,LFLL-LFBI-LFBH
CLG815,CLG,815,CLG,LFBH-LFBI-LFLL
CLG816,CLG,816,CLG,LFLL-LFBI-LFBH
CLG907E,CLG,907E,CLG,LFBL-LFRN
CLG94AM,CLG,94AM,CLG,LSGG-EBAW
CLG95ZO,CLG,95ZO,CLG,LFLL-EDDK
CLG96UE,CLG,96UE,CLG,EDDK-LFLL
