Callsign,Code,Number,AirlineCode,AirportCodes
CGH1001,CGH,1001,CGH,ZSJN-ZSAM
CGH1005,CGH,1005,CGH,ZHCC-ZUYB-ZGBH
CGH1006,CGH,1006,CGH,ZGBH-ZUYB-ZHCC
CGH1007,CGH,1007,CGH,ZSXZ-ZGKL-ZUUU
CGH1008,CGH,1008,CGH,ZUUU-ZGKL-ZSXZ
CGH1009,CGH,1009,CGH,ZHCC-ZPJH
CGH1010,CGH,1010,CGH,ZPJH-ZHCC
CGH1015,CGH,1015,CGH,ZSXZ-ZSFZ
CGH1025,CGH,1025,CGH,ZHCC-ZSYA
CGH1026,CGH,1026,CGH,ZGHZ-ZSZS-ZSXZ
CGH1034,CGH,1034,CGH,ZSXZ-ZGKL
CGH1036,CGH,1036,CGH,ZBTS-ZSYA-ZJHK
CGH1051,CGH,1051,CGH,ZSXZ-ZSFZ
CGH1052,CGH,1052,CGH,ZSFZ-ZSXZ
CGH1055,CGH,1055,CGH,ZGKL-ZBYN
CGH1058,CGH,1058,CGH,ZSYA-ZYTX
CGH1060,CGH,1060,CGH,ZSAM-ZGYL
CGH1063,CGH,1063,CGH,ZSXZ-ZGNN
CGH1068,CGH,1068,CGH,ZGBH-ZUCK-ZHCC
CGH1070,CGH,1070,CGH,ZSQZ-ZSZS-ZSXZ
CGH1075,CGH,1075,CGH,ZSXZ-ZUCK
CGH1080,CGH,1080,CGH,ZSQZ-ZSXZ
CGH1083,CGH,1083,CGH,ZGKL-ZUZH-ZUCK
CGH1086,CGH,1086,CGH,ZUGY-ZBTS-ZYTX
CGH1088,CGH,1088,CGH,ZJHK-ZSCN-ZSXZ
CGH1091,CGH,1091,CGH,ZYTX-ZUGY
CGH1092,CGH,1092,CGH,ZYTX-ZBTS-ZJHK
CGH1095,CGH,1095,CGH,ZGKL-ZUZH-ZUCK
CGH1096,CGH,1096,CGH,ZUCK-ZUZH-ZGKL
CGH1100,CGH,1100,CGH,ZBAA-ZGBS
CGH1109,CGH,1109,CGH,ZHCC-ZGKL-ZJSY
CGH1125,CGH,1125,CGH,ZGKL-ZSAM
CGH1136,CGH,1136,CGH,ZGHA-ZSYA
CGH1160,CGH,1160,CGH,ZLLL-ZLLN-ZJHK
