Callsign,Code,Number,AirlineCode,AirportCodes
CHB6201,CHB,6201,CHB,ZUCK-ZGSZ
CHB6202,CHB,6202,CHB,ZYHB-ZSJN-ZGSZ
CHB6203,CHB,6203,CHB,ZUCK-ZJSY
CHB6204,CHB,6204,CHB,ZJSY-ZUCK
CHB6205,CHB,6205,CHB,ZUCK-ZGGG
CHB6206,CHB,6206,CHB,ZGGG-ZUCK
CHB6207,CHB,6207,CHB,ZUCK-ZJHK
CHB6208,CHB,6208,CHB,ZJHK-ZUCK
CHB6209,CHB,6209,CHB,ZUCK-ZSQZ
CHB6210,CHB,6210,CHB,ZSQZ-ZUCK
CHB6211,CHB,6211,CHB,ZUCK-ZJSY
CHB6212,CHB,6212,CHB,ZJSY-ZUCK
CHB6213,CHB,6213,CHB,ZUCK-ZJSY
CHB6214,CHB,6214,CHB,ZJSY-ZUCK
CHB6215,CHB,6215,CHB,ZUCK-ZUBD
CHB6216,CHB,6216,CHB,ZUBD-ZUCK
CHB6217,CHB,6217,CHB,ZUCK-ZSXZ
CHB6218,CHB,6218,CHB,ZSXZ-ZUCK
CHB6219,CHB,6219,CHB,ZUCK-ZHHH-ZSFZ
CHB6220,CHB,6220,CHB,ZSFZ-ZHHH-ZUCK
CHB6221,CHB,6221,CHB,ZUCK-ZSGZ
CHB6222,CHB,6222,CHB,ZSGZ-ZUCK
CHB6227,CHB,6227,CHB,ZSXZ-ZSQZ-ZJSY
CHB6228,CHB,6228,CHB,ZJSY-ZSQZ-ZSXZ
CHB6229,CHB,6229,CHB,ZUCK-ZGSZ
CHB622Q,CHB,622Q,CHB,ZUCK-ZGSZ
CHB6230,CHB,6230,CHB,ZGSZ-ZUCK
CHB6231,CHB,6231,CHB,ZUCK-ZSFY-ZSZS
CHB6232,CHB,6232,CHB,ZSAM-ZGHA-ZUCK
CHB6233,CHB,6233,CHB,ZHCC-ZSAM
CHB6234,CHB,6234,CHB,ZSAM-ZHCC
CHB6235,CHB,6235,CHB,ZUCK-ZSNJ
CHB6236,CHB,6236,CHB,ZSNJ-ZUCK
CHB6237,CHB,6237,CHB,ZUCK-ZBTJ
CHB6238,CHB,6238,CHB,ZBTJ-ZUCK
CHB6239,CHB,6239,CHB,ZUCK-ZPLJ
CHB6240,CHB,6240,CHB,ZPLJ-ZUCK
CHB6243,CHB,6243,CHB,ZHCC-ZGSD
CHB6244,CHB,6244,CHB,ZGSD-ZHCC
CHB6247,CHB,6247,CHB,ZUCK-ZSRZ-ZYTX
CHB6248,CHB,6248,CHB,ZYTX-ZSRZ-ZUCK
CHB6249,CHB,6249,CHB,ZHCC-ZWAK
CHB6250,CHB,6250,CHB,ZWAK-ZHCC
CHB6251,CHB,6251,CHB,ZUCK-ZSOF
CHB6252,CHB,6252,CHB,ZSOF-ZUCK
CHB6253,CHB,6253,CHB,ZUCK-ZGGG
CHB6254,CHB,6254,CHB,ZGGG-ZUCK
CHB6255,CHB,6255,CHB,ZUCK-ZSCN
CHB6256,CHB,6256,CHB,ZSCN-ZUCK
