Callsign,Code,Number,AirlineCode,AirportCodes
CJT101,CJT,101,CJT,EGNX-EDDP
CJT102,CJT,102,CJT,EDDP-EGNX
CJT1023,CJT,1023,CJT,CYHM-CYYT
CJT106,CJT,106,CJT,EDDP-EGNX
CJT107,CJT,107,CJT,EGNX-EDDP
CJT112,CJT,112,CJT,EDDP-EGNX
CJT1286,CJT,1286,CJT,CYYC-CYHM
CJT1520,CJT,1520,CJT,CYYT-CYHM
CJT1554,CJT,1554,CJT,CYMX-CYHM
CJT1573,CJT,1573,CJT,CYOW-CYHM
CJT1574,CJT,1574,CJT,CYHM-CYOW
CJT1691,CJT,1691,CJT,CYWG-CYFB-CYRT
CJT1792,CJT,1792,CJT,EDDK-CYHM
CJT1793,CJT,1793,CJT,CYHM-EHBK
CJT1891,CJT,1891,CJT,CYHM-MMQT
CJT1893,CJT,1893,CJT,CYYT-CYHZ-EDDK
CJT1894,CJT,1894,CJT,EDDK-CYHM
CJT1895,CJT,1895,CJT,CYHM-EDDK
CJT1896,CJT,1896,CJT,EDDK-CYHM
CJT1897,CJT,1897,CJT,CYMX-EDDK
CJT1898,CJT,1898,CJT,EDDK-CYMX
CJT1905,CJT,1905,CJT,CYMX-KCVG
CJT1906,CJT,1906,CJT,KCVG-CYHM-CYMX
CJT1917,CJT,1917,CJT,CYEG-KCVG
CJT1919,CJT,1919,CJT,KLAX-CYVR
CJT1926,CJT,1926,CJT,KCVG-CYVR
CJT1951,CJT,1951,CJT,KCVG-CYMX
CJT1952,CJT,1952,CJT,CYMX-KCVG
CJT2383,CJT,2383,CJT,CYEG-CYVR
CJT2384,CJT,2384,CJT,CYVR-CYHM
CJT2385,CJT,2385,CJT,CYHM-CYYC
CJT2386,CJT,2386,CJT,CYYC-CYHM
CJT2387,CJT,2387,CJT,CYHM-CYEG
CJT245,CJT,245,CJT,KEWR-TXKF
CJT246,CJT,246,CJT,TXKF-KJFK-CYHM
CJT268,CJT,268,CJT,CYOW-CYFB-CYOW
CJT270,CJT,270,CJT,CYOW-CYFB-CYOW
CJT2917,CJT,2917,CJT,KMIA-MROC-MPTO
CJT2990,CJT,2990,CJT,KMIA-MPTO
CJT3002,CJT,3002,CJT,LIMC-KJFK-CYHM
CJT301,CJT,301,CJT,CYHM-CYYC-CYVR
CJT302,CJT,302,CJT,CYVR-CYHM
CJT3024,CJT,3024,CJT,SCEL-KMIA
CJT326,CJT,326,CJT,EBBR-KCVG
CJT338,CJT,338,CJT,EDDP-CYHM-KJFK
CJT339,CJT,339,CJT,KJFK-EDDP
CJT340,CJT,340,CJT,EGNX-EDDP-CYHZ-KLAX
CJT344,CJT,344,CJT,KCVG-EDDP
CJT346,CJT,346,CJT,EDDP-CYHM-KCVG
CJT347,CJT,347,CJT,KCVG-EDDP
CJT348,CJT,348,CJT,EGNX-CYHM
CJT361,CJT,361,CJT,KJFK-EDDP
CJT366,CJT,366,CJT,EGNX-KJFK
CJT367,CJT,367,CJT,KJFK-EGNX
CJT368,CJT,368,CJT,EDDP-KCVG
CJT369,CJT,369,CJT,KCVG-EDDP
CJT384,CJT,384,CJT,EGNX-KCVG
CJT389,CJT,389,CJT,KCVG-EGNX
CJT395,CJT,395,CJT,KCVG-EBBR
CJT462,CJT,462,CJT,CYWG-CYFB-CYHM
CJT470,CJT,470,CJT,CYOW-CYFB-CYOW
CJT510,CJT,510,CJT,CYVR-CYHM
CJT514,CJT,514,CJT,CYVR-CYHM
CJT520,CJT,520,CJT,CYVR-CYHM
CJT5231,CJT,5231,CJT,KMIA-MROC
CJT5236,CJT,5236,CJT,MHLM-KMIA
CJT5240,CJT,5240,CJT,MROC-MHLM
CJT5455,CJT,5455,CJT,KMIA-MGGT
CJT5457,CJT,5457,CJT,MGGT-MHLM
CJT551,CJT,551,CJT,CYHM-CYWG-CYYC-CYVR
CJT554,CJT,554,CJT,CYVR-CYEG-CYWG-CYMX
CJT555,CJT,555,CJT,CYHM-CYWG-CYEG-CYVR
CJT567,CJT,567,CJT,CYMX-CYWG-CYVR
CJT568,CJT,568,CJT,CYWG-CYHM
CJT569,CJT,569,CJT,CYHM-CYVR
CJT570,CJT,570,CJT,CYVR-CYWG-CYMX
CJT571,CJT,571,CJT,CYHM-CYWG-CYYC
CJT572,CJT,572,CJT,CYVR-CYYC-CYHM
CJT573,CJT,573,CJT,CYHM-CYWG-CYEG
CJT574,CJT,574,CJT,CYEG-CYWG-CYHM-CYOW
CJT575,CJT,575,CJT,CYMX-CYHM-CYEG
CJT579,CJT,579,CJT,CYHM-CYVR
CJT580,CJT,580,CJT,CYYC-CYHM
CJT581,CJT,581,CJT,CYHM-CYEG
CJT582,CJT,582,CJT,CYEG-CYHM
CJT583,CJT,583,CJT,CYHM-CYYC-CYVR
CJT584,CJT,584,CJT,CYVR-CYHM
CJT588,CJT,588,CJT,CYVR-CYHM
CJT589,CJT,589,CJT,CYHM-CYVR
CJT590,CJT,590,CJT,CYXE-CYQR-CYWG
CJT591,CJT,591,CJT,CYWG-CYQR-CYXE
CJT618,CJT,618,CJT,CYMX-CYQM-CYHZ
CJT619,CJT,619,CJT,CYHZ-CYHM
CJT620,CJT,620,CJT,CYHM-CYQM-CYYT
CJT621,CJT,621,CJT,CYYT-CYQM-CYHM
CJT622,CJT,622,CJT,CYHM-CYHZ
CJT625,CJT,625,CJT,CYYT-CYQM-CYMX
CJT626,CJT,626,CJT,CYHM-CYMX-CYQM-CYHZ
CJT7912,CJT,7912,CJT,KJFK-EPWA
CJT824,CJT,824,CJT,ZSPD-RJAA-CYVR
CJT825,CJT,825,CJT,CYVR-RJAA-ZSPD
CJT85,CJT,85,CJT,EGNX-EDDP
CJT9001,CJT,9001,CJT,CYHM-CYWG
CJT905,CJT,905,CJT,KCVG-MMSM-MMGL
CJT906,CJT,906,CJT,CYYC-CYHM
CJT907,CJT,907,CJT,KCVG-CYMX
CJT909,CJT,909,CJT,CYHM-CYVR
CJT913,CJT,913,CJT,MMQT-MMGL-KCVG-CYMX
CJT914,CJT,914,CJT,CYMX-KCVG-MMGL-MMQT
CJT915,CJT,915,CJT,KCVG-CYHM
CJT916,CJT,916,CJT,CYHM-KCVG
CJT917,CJT,917,CJT,CYEG-CYWG-KCVG
CJT918,CJT,918,CJT,KCVG-CYWG-CYEG
CJT919,CJT,919,CJT,MMMY-KCVG-CYYC
CJT920,CJT,920,CJT,CYYC-KCVG-MMMY
CJT921,CJT,921,CJT,MMMY-KCVG-CYYC-CYEG
CJT923,CJT,923,CJT,KMIA-EBBR
CJT924,CJT,924,CJT,CYEG-KCVG-MMMY
CJT9245,CJT,9245,CJT,CYHZ-KEWR
CJT925,CJT,925,CJT,KCVG-MMGL-MMQT
CJT926,CJT,926,CJT,SBKP-SKBO-KMIA
CJT951,CJT,951,CJT,MMMX-KCVG-CYMX
CJT952,CJT,952,CJT,CYMX-KCVG-MMMX
CJT972,CJT,972,CJT,EGNX-KCVG
CJT973,CJT,973,CJT,KCVG-EGNX
CJT976,CJT,976,CJT,EBBR-CYYT-KCVG
CJT977,CJT,977,CJT,KCVG-EBBR
CJT979,CJT,979,CJT,KCVG-EGNX
