Callsign,Code,Number,AirlineCode,AirportCodes
CGS122,CGS,122,CGS,OKKK-OMDW
CGS123,CGS,123,CGS,OMDW-OKKK
CGS124,CGS,124,CGS,OMDW-OKKK
CGS125,CGS,125,CGS,OKKK-OMDW
CGS126,CGS,126,CGS,OMDW-OKKK
CGS127,CGS,127,CGS,OKKK-OMDW
CGS132,CGS,132,CGS,OMDW-OTHH
CGS333,CGS,333,CGS,LTFM-OMDW
CGS433,CGS,433,CGS,OJAI-OMDW
CGS4419,CGS,4419,CGS,HKJK-OMDW
CGS4420,CGS,4420,CGS,OMDW-HKJK
CGS501,CGS,501,CGS,OMDW-VGHS
CGS502,CGS,502,CGS,VGHS-OMDW
CGS503,CGS,503,CGS,OMDW-VGHS
CGS504,CGS,504,CGS,VGHS-OMDW
CGS511,CGS,511,CGS,VGHS-VHHH
CGS512,CGS,512,CGS,VHHH-VGHS
CGS531,CGS,531,CGS,VGHS-VHHH
CGS532,CGS,532,CGS,VHHH-VGHS
CGS6024,CGS,6024,CGS,OMDW-OERK
CGS721,CGS,721,CGS,OMDW-VAAH
CGS801,CGS,801,CGS,OMDW-HKJK
CGS8011,CGS,8011,CGS,HKEL-HKJK
CGS802,CGS,802,CGS,HKJK-OMDW
CGS8031,CGS,8031,CGS,HKJK-FLKK
CGS8052,CGS,8052,CGS,HTDA-HKJK
CGS807,CGS,807,CGS,OMDW-HKJK
CGS808,CGS,808,CGS,HKJK-OMDW
