ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
C0533F,C-GFNQ,PA44,Piper,PA-44-180 Seminole,Piper PA-44-180 Seminole,0,Aviation Unlimited,,4496554,2023
C0534E,C-GFOF,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Flair Airlines,FLE,44302,2019
C0540B,C-GFVM,B738,Boeing,737-8FN,Boeing 737-8FN,0,Sunwing Airlines,SWG,37077,2010
C0541C,C-GFWD,CL60,Canadair,CL-600 Challenger 605,Canadair CL-600 Challenger 605,1,Private,,,
C05491,C-GGAQ,CL35,Bombardier,Challenger 350,Bombardier Challenger 350,0,Fast Air,PBR,20596,2016
C05BA9,C-GISM,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Swoop,WSW,42840,2019
C05C0E,C-GIWJ,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,WestJet,WJA,65425,2022
C05D2D,C-GJHK,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Lynx Air,DAT,63383,2023
C05D78,C-GJKH,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Swoop,WSW,,
C05D7B,C-GJKK,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Swoop,WSW,42838,2019
C05D92,C-GJLH,A320,Airbus,A320-214,Airbus A320-214,0,Jetlines,CJL,3460,2008
