Callsign,Code,Number,AirlineCode,AirportCodes
VXP101,VXP,101,VXP,KBUR-KSTS
VXP103,VXP,103,VXP,KBUR-KPSC
VXP104,VXP,104,VXP,KPSC-KBUR
VXP105,VXP,105,VXP,KBUR-KBZN
VXP111,VXP,111,VXP,KBUR-KMFR
VXP112,VXP,112,VXP,KMFR-KBUR
VXP117,VXP,117,VXP,KBUR-KEUG
VXP118,VXP,118,VXP,KEUG-KBUR
VXP119,VXP,119,VXP,KBUR-KRDM
VXP120,VXP,120,VXP,KRDM-KBUR
VXP123,VXP,123,VXP,KBUR-KRDD
VXP124,VXP,124,VXP,KRDD-KBUR
VXP126,VXP,126,VXP,KSTS-KBUR
VXP127,VXP,127,VXP,KSTS-KLAS
VXP128,VXP,128,VXP,KLAS-KSTS
VXP134,VXP,134,VXP,KBUR-KBRO
VXP135,VXP,135,VXP,KBRO-KBUR
VXP138,VXP,138,VXP,KBUR-KCOS
VXP139,VXP,139,VXP,KCOS-KBUR
VXP145,VXP,145,VXP,KBUR-KGPI
VXP146,VXP,146,VXP,KBUR-KGPI
VXP149,VXP,149,VXP,KSTS-KPSP
VXP150,VXP,150,VXP,KPSP-KSTS
VXP157,VXP,157,VXP,KRDM-KPSP
VXP158,VXP,158,VXP,KPSP-KRDM
VXP163,VXP,163,VXP,KRDM-KSTS
VXP164,VXP,164,VXP,KSTS-KRDM
VXP165,VXP,165,VXP,KBUR-KBOI
VXP166,VXP,166,VXP,KBOI-KBUR
VXP173,VXP,173,VXP,KFNL-KLAS
VXP175,VXP,175,VXP,KBUR-KBZN
VXP176,VXP,176,VXP,KBZN-KBUR
VXP178,VXP,178,VXP,KLAS-KBUR
VXP182,VXP,182,VXP,KEUG-KPSP
VXP183,VXP,183,VXP,KPSP-KEUG
VXP185,VXP,185,VXP,KBUR-KSLE
VXP186,VXP,186,VXP,KSLE-KBUR
VXP195,VXP,195,VXP,KBUR-KACV
VXP196,VXP,196,VXP,KACV-KBUR
VXP201,VXP,201,VXP,KLAS-KSTS
VXP202,VXP,202,VXP,KSTS-KLAS
VXP202A,VXP,202A,VXP,KSTS-KLAS
VXP203,VXP,203,VXP,KLAS-KACV
VXP204,VXP,204,VXP,KACV-KLAS
VXP205,VXP,205,VXP,KLAS-KRDM
VXP206,VXP,206,VXP,KRDM-KLAS
VXP207,VXP,207,VXP,KLAS-KBRO
VXP208,VXP,208,VXP,KBRO-KLAS
VXP209,VXP,209,VXP,KLAS-KDBQ
VXP210,VXP,210,VXP,KDBQ-KLAS
VXP219,VXP,219,VXP,KLAS-KSLE
VXP220,VXP,220,VXP,KSLE-KLAS
VXP263,VXP,263,VXP,KRDM-KSTS
VXP264,VXP,264,VXP,KSTS-KRDM
VXP301,VXP,301,VXP,KHVN-KMCO
VXP302,VXP,302,VXP,KMCO-KHVN
VXP305,VXP,305,VXP,KHVN-KSRQ
VXP306,VXP,306,VXP,KSRQ-KHVN
VXP307,VXP,307,VXP,KHVN-KSRQ
VXP308,VXP,308,VXP,KSRQ-KHVN
VXP311,VXP,311,VXP,KHVN-KTPA
VXP312,VXP,312,VXP,KTPA-KHVN
