Callsign,Code,Number,AirlineCode,AirportCodes
SNC1102,SNC,1102,SNC,TJSJ-TIST
SNC1103,SNC,1103,SNC,TJSJ-TISX
SNC1104,SNC,1104,SNC,TJSJ-TNCM
SNC1256,SNC,1256,SNC,KSDF-KBKW-KSDF
SNC1259,SNC,1259,SNC,KCRW-KSDF
SNC1294,SNC,1294,SNC,KCAE-KMYR
SNC1316,SNC,1316,SNC,KCAE-KSAV
SNC1367,SNC,1367,SNC,KPHX-KLAS
SNC1380,SNC,1380,SNC,KPHX-KTUS
SNC1401,SNC,1401,SNC,TNCM-TJSJ
SNC1465,SNC,1465,SNC,KASW-KSDF
SNC1466,SNC,1466,SNC,KSDF-HESN
SNC1467,SNC,1467,SNC,KMKE-KMSN-KSDF
SNC1468,SNC,1468,SNC,KSDF-KTVC-KMKE
SNC380,SNC,380,SNC,TJSJ-TIST
SNC381,SNC,381,SNC,TIST-TJSJ
SNC382,SNC,382,SNC,TJSJ-TIST
SNC384,SNC,384,SNC,TJSJ-TIST
SNC385,SNC,385,SNC,TIST-TJSJ
SNC492,SNC,492,SNC,TJSJ-TISX
SNC493,SNC,493,SNC,TISX-TJSJ
