Callsign,Code,Number,AirlineCode,AirportCodes
SWQ118,SWQ,118,SWQ,KMKE-KCVG
SWQ1185,SWQ,1185,SWQ,KMSP-KCVG
SWQ1197,SWQ,1197,SWQ,KSLC-KCVG
SWQ129,SWQ,129,SWQ,KELP-KCVG
SWQ157,SWQ,157,SWQ,KBWI-KCVG
SWQ1585,SWQ,1585,SWQ,KCVG-KMSP
SWQ165,SWQ,165,SWQ,KMCO-KCVG
SWQ1814,SWQ,1814,SWQ,KRNO-KPHX-KLAX
SWQ185,SWQ,185,SWQ,KMSP-KCVG
SWQ187,SWQ,187,SWQ,KPHL-KCVG
SWQ1914,SWQ,1914,SWQ,KLAX-KPHX-KRNO
SWQ194,SWQ,194,SWQ,KDEN-KCVG
SWQ198,SWQ,198,SWQ,KSAN-KCVG
SWQ1995,SWQ,1995,SWQ,KMIA-MDSD
SWQ1996,SWQ,1996,SWQ,MDSD-KMIA
SWQ202,SWQ,202,SWQ,MDPC-KMIA
SWQ2042,SWQ,2042,SWQ,KCVG-KMEM
SWQ2043,SWQ,2043,SWQ,KMEM-KCVG
SWQ260,SWQ,260,SWQ,KMIA-MUSC
SWQ294,SWQ,294,SWQ,KTPA-MUSC
SWQ3139,SWQ,3139,SWQ,KMIA-MUHA
SWQ3504,SWQ,3504,SWQ,KIWA-MGGT
SWQ3514,SWQ,3514,SWQ,KPHX-MGGT
SWQ3515,SWQ,3515,SWQ,MGGT-KPHX
SWQ3523,SWQ,3523,SWQ,KSAN-MMGL
SWQ3531,SWQ,3531,SWQ,KELP-SEGU
SWQ3533,SWQ,3533,SWQ,SEGU-KPHX
SWQ3540,SWQ,3540,SWQ,MSLP-MPTO
SWQ3565,SWQ,3565,SWQ,KMCI-KBRO
SWQ3591,SWQ,3591,SWQ,MGGT-KPHX
SWQ3599,SWQ,3599,SWQ,SEGU-UUBI
SWQ3720,SWQ,3720,SWQ,SEGU-KHRL
SWQ391,SWQ,391,SWQ,KGSO-KONT
SWQ400,SWQ,400,SWQ,KMIA-TJSJ
SWQ404,SWQ,404,SWQ,KMIA-MDSD
SWQ411,SWQ,411,SWQ,KRIC-KCVG
SWQ443,SWQ,443,SWQ,KMFE-MMVA
SWQ444,SWQ,444,SWQ,MMVA-KMFE
SWQ502,SWQ,502,SWQ,KMIA-MUHA
SWQ503,SWQ,503,SWQ,MUHA-KMIA
SWQ504,SWQ,504,SWQ,KMIA-MUHA
SWQ505,SWQ,505,SWQ,MUHA-KMIA
SWQ507,SWQ,507,SWQ,KMKE-MMSD
SWQ513,SWQ,513,SWQ,MUSC-KMIA
SWQ517,SWQ,517,SWQ,KCVG-KSAT
SWQ518,SWQ,518,SWQ,KCVG-KMKE
SWQ540,SWQ,540,SWQ,KLAN-MMUN
SWQ557,SWQ,557,SWQ,KCVG-KBWI
SWQ565,SWQ,565,SWQ,KCVG-KMCO
SWQ585,SWQ,585,SWQ,KCVG-KMSP
SWQ587,SWQ,587,SWQ,KCVG-KPHL
SWQ592,SWQ,592,SWQ,KCVG-KDTW
SWQ597,SWQ,597,SWQ,KCVG-KSLC
SWQ598,SWQ,598,SWQ,KCVG-KSAN
SWQ701,SWQ,701,SWQ,KMIA-MUHA
SWQ702,SWQ,702,SWQ,MUHA-KMIA
SWQ710,SWQ,710,SWQ,KONT-KGSO
SWQ7720,SWQ,7720,SWQ,KACT-KMKC
SWQ811,SWQ,811,SWQ,KCVG-KRIC
SWQ840,SWQ,840,SWQ,KCVG-TJSJ
SWQ900,SWQ,900,SWQ,KMIA-MPTO-MGGT
SWQ9005,SWQ,9005,SWQ,LKPR-BIKF
SWQ9527,SWQ,9527,SWQ,KBFI-KSAT
SWQ9538,SWQ,9538,SWQ,KBRO-KMEM
SWQ981,SWQ,981,SWQ,KMIA-KCVG
