Callsign,Code,Number,AirlineCode,AirportCodes
SH111,SH,111,SH,YCFS-YPMQ-YTRE-YSBK
SH112,SH,112,SH,YSBK-YTRE-YPMQ-YCFS
SH117,SH,117,SH,YBCG-YBNA-YCFS-YSBK
SH132,SH,132,SH,YBBN-YBMK-YBMA
SH135,SH,135,SH,YBMA-YBTL-YBBN
SH161,SH,161,SH,YBMK-YBBN
SH162,SH,162,SH,YBBN-YBRK-YBMK
SH171,SH,171,SH,YMML-YSBK
SH182,SH,182,SH,YSBK-YMML
SH188,SH,188,SH,YMHB-YMLT-YMML
SH189,SH,189,SH,YMML-YMLT-YMHB
SH411,SH,411,SH,YPAD-YOOM
SH422,SH,422,SH,YPAD-YKSC
SH423,SH,423,SH,YKSC-YWBL
SH460,SH,460,SH,YPAD-YPAG
SH467,SH,467,SH,YPAG-YPAD
SH471,SH,471,SH,YPAD-YBEE
SH472,SH,472,SH,YPAD-YPAG
SH473,SH,473,SH,YPAG-YPAD
SH474,SH,474,SH,YBEE-YPAD
SH477,SH,477,SH,YPAG-YPAD
SH491,SH,491,SH,YPAD-YBEE
SH492,SH,492,SH,YBEE-YPAD
SH493,SH,493,SH,YPAD-YBEE
SH494,SH,494,SH,YBEE-YPAD
SH495,SH,495,SH,YPAD-YBEE
SH496,SH,496,SH,YBEE-YPAD
SH497,SH,497,SH,YPAD-YBEE
SH801,SH,801,SH,YMLT-YFLI
SH802,SH,802,SH,YFLI-YMLT
SH806,SH,806,SH,YFLI-YMLT
SH807,SH,807,SH,YMLT-YFLI
SH808,SH,808,SH,YFLI-YMLT
SH815,SH,815,SH,YMEN-YFLI
SH816,SH,816,SH,YFLI-YMEN
SH832,SH,832,SH,YMEN-YWBL
SH877,SH,877,SH,YMEN-YGTH
SH878,SH,878,SH,YGTH-YMEN
SH892,SH,892,SH,YMLT-YWYY-YKII
SH893,SH,893,SH,YKII-YWYY-YMLT
SH894,SH,894,SH,YMLT-YKII-YWYY
SH895,SH,895,SH,YKII-YWYY-YMLT
SH896,SH,896,SH,YMLT-YKII-YWYY
SH897,SH,897,SH,YKII-YWYY-YMLT
SH898,SH,898,SH,YMLT-YKII
SH922,SH,922,SH,YMEN-YKII
SH923,SH,923,SH,YKII-YMEN
SH926,SH,926,SH,YMEN-YKII
SH927,SH,927,SH,YKII-YMEN
