Callsign,Code,Number,AirlineCode,AirportCodes
QXE2000,QXE,2000,QXE,PANC-PAOT-PANC
QXE2001,QXE,2001,QXE,KSEA-KYKM-KSEA
QXE2002,QXE,2002,QXE,PANC-PAOM-PANC
QXE2003,QXE,2003,QXE,KSEA-KELP-KSEA
QXE2004,QXE,2004,QXE,KPDX-KBOI
QXE2005,QXE,2005,QXE,KBOI-KPDX
QXE2006,QXE,2006,QXE,KSAN-KSJC
QXE2007,QXE,2007,QXE,KSEA-KPDX
QXE2008,QXE,2008,QXE,KSFO-KSAN
QXE2009,QXE,2009,QXE,KGEG-KSEA
QXE2010,QXE,2010,QXE,KIDA-KSEA
QXE2011,QXE,2011,QXE,KSAN-KSLC
QXE2012,QXE,2012,QXE,KMFR-KPDX
QXE2013,QXE,2013,QXE,KSFO-KSLC
QXE2014,QXE,2014,QXE,KLAS-KLAX
QXE2015,QXE,2015,QXE,KGEG-KBOI
QXE2016,QXE,2016,QXE,KSAN-KLAS
QXE2017,QXE,2017,QXE,KLAS-KSAN
QXE2018,QXE,2018,QXE,KSAN-KLAS
QXE2019,QXE,2019,QXE,KLAS-KSAN
QXE2020,QXE,2020,QXE,KSMF-KPDX
QXE2021,QXE,2021,QXE,KBZN-KPDX
QXE2022,QXE,2022,QXE,KPDX-KBZN
QXE2023,QXE,2023,QXE,KSAN-KFAT-KSAN
QXE2024,QXE,2024,QXE,KLAX-KMFR
QXE2025,QXE,2025,QXE,KMFR-KLAX
QXE2026,QXE,2026,QXE,KSEA-KOAK
QXE2027,QXE,2027,QXE,KPDX-KGEG
QXE2028,QXE,2028,QXE,KYKM-KSEA
QXE2029,QXE,2029,QXE,KPDX-KSBA-KPDX
QXE2030,QXE,2030,QXE,KSBA-KPDX
QXE2031,QXE,2031,QXE,KRNO-KSEA
QXE2032,QXE,2032,QXE,KPUW-KBOI
QXE2033,QXE,2033,QXE,KSFO-KBZN
QXE2034,QXE,2034,QXE,KLAS-KSAN
QXE2035,QXE,2035,QXE,KSFO-KGEG
QXE2036,QXE,2036,QXE,KBOI-KPUW
QXE2037,QXE,2037,QXE,KSAN-KLAS
QXE2038,QXE,2038,QXE,PANC-PADL
QXE2039,QXE,2039,QXE,PADL-PANC
QXE2040,QXE,2040,QXE,KSEA-KHLN-KSEA
QXE2041,QXE,2041,QXE,KSEA-CYVR
QXE2042,QXE,2042,QXE,CYVR-KSEA
QXE2043,QXE,2043,QXE,KRDM-KPDX
QXE2044,QXE,2044,QXE,KPDX-KGPI
QXE2045,QXE,2045,QXE,KSJC-KSAN
QXE2046,QXE,2046,QXE,KPDX-KEUG-KPDX
QXE2047,QXE,2047,QXE,KSAN-KLAS
QXE2048,QXE,2048,QXE,KSEA-CYYJ-KSEA
QXE2049,QXE,2049,QXE,KPDX-KRDM
QXE2050,QXE,2050,QXE,KMFR-KSEA
QXE2051,QXE,2051,QXE,KLAX-KGEG
QXE2052,QXE,2052,QXE,KSEA-KMFR-KSEA
QXE2053,QXE,2053,QXE,KBZN-KSAN
QXE2054,QXE,2054,QXE,KLAS-KSAN
QXE2055,QXE,2055,QXE,KGEG-KBOI
QXE2056,QXE,2056,QXE,KPDX-KSBP-KPDX
QXE2057,QXE,2057,QXE,KPDX-KRDM
QXE2058,QXE,2058,QXE,KSFO-KSAN
QXE2059,QXE,2059,QXE,KRDM-KSEA
QXE2060,QXE,2060,QXE,KSEA-KGPI
QXE2061,QXE,2061,QXE,KSFO-KLAX
QXE2062,QXE,2062,QXE,KPDX-KSEA
QXE2063,QXE,2063,QXE,KLAS-KPAE
QXE2064,QXE,2064,QXE,KSEA-KSMF
QXE2065,QXE,2065,QXE,KSAN-KPHX
QXE2066,QXE,2066,QXE,KSEA-KRDM
QXE2067,QXE,2067,QXE,KPUW-KSEA
QXE2068,QXE,2068,QXE,KSEA-KSTS
QXE2069,QXE,2069,QXE,KSEA-KRDD
QXE2070,QXE,2070,QXE,KPHX-KSAN
QXE2071,QXE,2071,QXE,KSAN-KPHX
QXE2072,QXE,2072,QXE,KSEA-KGPI-KSEA
QXE2073,QXE,2073,QXE,KSAN-KMRY
QXE2074,QXE,2074,QXE,KGEG-KSEA
QXE2075,QXE,2075,QXE,KRDM-KLAX
QXE2076,QXE,2076,QXE,KLAX-KSFO
QXE2077,QXE,2077,QXE,KSFO-KPSP-KSFO
QXE2078,QXE,2078,QXE,KPAE-KSFO
QXE2079,QXE,2079,QXE,KSMF-KBOI
QXE2080,QXE,2080,QXE,PANC-KPDX
QXE2081,QXE,2081,QXE,KPDX-KSEA
QXE2082,QXE,2082,QXE,KPDX-KSEA
QXE2083,QXE,2083,QXE,KSEA-KGEG
