Callsign,Code,Number,AirlineCode,AirportCodes
RGN1507,RGN,1507,RGN,LFRS-EDDP
RGN1810,RGN,1810,RGN,EDDK-LEVT-LEZL
RGN1811,RGN,1811,RGN,LEZL-LEVT-EDDK
RGN1820,RGN,1820,RGN,EDDK-LFRN
RGN1821,RGN,1821,RGN,LFRN-EDDK
RGN2NS,RGN,2NS,RGN,LFRN-EDDK
RGN3844,RGN,3844,RGN,EDDP-EKBI
RGN3845,RGN,3845,RGN,EKBI-EDDP
RGN4127,RGN,4127,RGN,LOWL-EDDP
RGN5101,RGN,5101,RGN,EPGD-EDDP
RGN5102,RGN,5102,RGN,EDDP-EPGD
RGN5916,RGN,5916,RGN,EDDP-EPKT
RGN5917,RGN,5917,RGN,EPKT-EDDP
RGN7491,RGN,7491,RGN,LIPZ-EDDP
RGN7492,RGN,7492,RGN,EDDP-LIPZ
RGN9000,RGN,9000,RGN,GCLP-LEMD
RGN9001,RGN,9001,RGN,LEMD-GCXO
RGN9011,RGN,9011,RGN,LEMD-GCLP-GCXO
RGN9012,RGN,9012,RGN,GCXO-LEMD
RGN9015,RGN,9015,RGN,LEMD-GCLP-GCXO
RGN9016,RGN,9016,RGN,GCXO-LEMD
RGN9042,RGN,9042,RGN,EDDF-LEMD
RGN9043,RGN,9043,RGN,LEMD-LIMC
RGN9044,RGN,9044,RGN,LIMC-LEMD
RGN9045,RGN,9045,RGN,LEMD-EDDF
RGN9047,RGN,9047,RGN,LEMD-LFSB
