ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
AAA342,N785BR,E170,Embraer,170,Embraer 170,0,Envoy Air,ENY,17000056,2004
AAA364,N785D,GLEX,Bombardier,Global 6000,Bombardier Global 6000,1,Private,,9765,2016
AAA403,N785KJ,GLEX,Bombardier,Global 6000,Bombardier Global 6000,0,Horizon Aviation LLC,,9741,2022
AAA727,N786DM,GLF6,Gulfstream,G650,Gulfstream G650,1,Private,,6065,2013
AAA73C,N786EH,SR20,Cirrus,SR20,Cirrus SR20,1,Private,,9445,2023
AAA78D,N786HP,SR22,Cirrus,SR-22,Cirrus SR-22,1,Private,,4968,2021
AAA808,N786NM,GLF5,Gulfstream,V,Gulfstream V,1,Private,,522,1997
AAA86C,N786SM,E170,Embraer,ERJ-170SE,Embraer ERJ-170SE,0,Envoy Air,ENY,17000052,2004
AAA894,N786UB,S22T,Cirrus,SR22T,Cirrus SR22T,1,Private,,9893,2024
AAAAAE,N787BP,E170,Embraer,E170LR,Embraer E170LR,0,Envoy Air,ENY,17000046,2005
AAAAE6,N787DV,GLF6,Gulfstream,G650ER,Gulfstream G650ER,0,Executive Jet Management,EJM,6563,2023
AAAB1C,N787FZ,GL7T,Bombardier,Global 7500,Bombardier Global 7500,1,Private,,70155,2023
AAABB5,N787NB,GLEX,Bombardier,Global 6000,Bombardier Global 6000,1,Private,,9527,2012
AAAE63,N788BM,S22T,Cirrus,SR22T,Cirrus SR22T,1,Private,,9356,2023
AAAE79,N788CJ,E170,Embraer,E170SE,Embraer E170SE,0,Envoy Air,ENY,17000051,2004
AAAE98,N788DQ,GA5C,Gulfstream,G500,Gulfstream G500,1,Private,,72048,2019
AAAFD1,N788SC,PC12,Pilatus,PC-12,Pilatus PC-12,1,Private,,1453,2013
AAAFD9,N788SL,GLF6,Gulfstream Aerospace,G650,Gulfstream G650,1,Private,,6532,
