Callsign,Code,Number,AirlineCode,AirportCodes
UBD105,UBD,105,UBD,ORBI-OLBA
UBD106,UBD,106,UBD,OLBA-ORBI
UBD115,UBD,115,UBD,ORER-LDRI-EGKK
UBD116,UBD,116,UBD,EGKK-ORER
UBD137,UBD,137,UBD,ORBI-OMDB
UBD138,UBD,138,UBD,OMDB-ORBI
UBD141,UBD,141,UBD,ORBI-OSDI
UBD143,UBD,143,UBD,ORBI-LTFH
UBD161,UBD,161,UBD,ORBI-OSDI
UBD167,UBD,167,UBD,ORBI-LTFJ
UBD168,UBD,168,UBD,LTFJ-ORBI
UBD171,UBD,171,UBD,ORBI-LTAI
UBD231,UBD,231,UBD,ORER-EKCH
UBD232,UBD,232,UBD,EKCH-ORER
UBD238,UBD,238,UBD,OMDB-ORER
UBD305,UBD,305,UBD,ORNI-OLBA
UBD341,UBD,341,UBD,ORNI-OSDI
UBD342,UBD,342,UBD,OSDI-ORNI
UBD423,UBD,423,UBD,ORER-EHAM
UBD424,UBD,424,UBD,EHAM-ORER
UBD427,UBD,427,UBD,ORER-EDDF
UBD428,UBD,428,UBD,EDDF-ORER
UBD431,UBD,431,UBD,ORER-EKCH
UBD432,UBD,432,UBD,EKCH-ORER
UBD435,UBD,435,UBD,ORER-EDDK
UBD436,UBD,436,UBD,EDDK-ORER
UBD437,UBD,437,UBD,ORER-EDDL
UBD438,UBD,438,UBD,EDDL-ORER
UBD441,UBD,441,UBD,ORER-EDDM
UBD442,UBD,442,UBD,EDDM-ORER
UBD4438,UBD,4438,UBD,EDDL-ORER
UBD445,UBD,445,UBD,ORER-EDDB
UBD446,UBD,446,UBD,EDDB-ORER
UBD4482,UBD,4482,UBD,EDDS-ORER
UBD451,UBD,451,UBD,ORER-UDYZ
UBD461,UBD,461,UBD,ORER-OMDB
UBD464,UBD,464,UBD,LTCG-ORER
UBD482,UBD,482,UBD,EDDS-ORER
UBD495,UBD,495,UBD,ORER-EDDV
UBD496,UBD,496,UBD,EDDV-ORER
UBD6001,UBD,6001,UBD,LBSF-ORER
UBD631,UBD,631,UBD,ORER-OMSJ
UBD632,UBD,632,UBD,OMSJ-ORER
UBD705,UBD,705,UBD,ORER-OLBA
UBD706,UBD,706,UBD,OLBA-ORER
UBD761,UBD,761,UBD,ORER-LTFM
UBD762,UBD,762,UBD,LTFM-ORER
