Callsign,Code,Number,AirlineCode,AirportCodes
KES200J,KES,200J,KES,TFFR-TFFG
KES200U,KES,200U,KES,TFFF-TFFR
KES201K,KES,201K,KES,TFFG-TFFR
KES201L,KES,201L,KES,TFFR-TFFF
KES204W,KES,204W,KES,TFFF-TFFR-TFFG
KES204Y,KES,204Y,KES,TFFR-TFFG
KES205Y,KES,205Y,KES,TFFG-TFFR-TFFF
KES208M,KES,208M,KES,TFFF-TFFR
KES208N,KES,208N,KES,TFFR-TFFG
KES209P,KES,209P,KES,TFFR-TFFF
KES209S,KES,209S,KES,TFFG-TFFR
KES211Y,KES,211Y,KES,TFFR-TFFF
KES212W,KES,212W,KES,TFFF-TFFR
KES216W,KES,216W,KES,TFFF-TFFR
KES300A,KES,300A,KES,TFFR-TFFJ
KES301B,KES,301B,KES,TFFJ-TFFR
KES304,KES,304,KES,TFFR-TFFJ
KES304G,KES,304G,KES,TFFR-TFFJ
KES305H,KES,305H,KES,TFFJ-TFFR
KES306C,KES,306C,KES,TFFR-TFFJ
KES307D,KES,307D,KES,TFFJ-TFFR
