Callsign,Code,Number,AirlineCode,AirportCodes
KMF11,KMF,11,KMF,OAKB-UAAA
KMF12,KMF,12,KMF,UAAA-OAKB
KMF121,KMF,121,KMF,OAKB-OAKN
KMF141,KMF,141,KMF,OAKB-OAMS
KMF142,KMF,142,KMF,OAMS-OAKB
KMF143,KMF,143,KMF,OAKB-OAMS
KMF144,KMF,144,KMF,OAMS-OAKB
KMF145,KMF,145,KMF,OAKB-OAMS
KMF146,KMF,146,KMF,OAMS-OAKB
KMF4401,KMF,4401,KMF,OAKB-VIDP
KMF7710,KMF,7710,KMF,OIIE-OAMS
KMF901,KMF,901,KMF,OAKB-OMDB
KMF9011,KMF,9011,KMF,OAMS-LTFM
KMF903,KMF,903,KMF,OAKB-OMAA
KMF905,KMF,905,KMF,OAKB-OKKK
KMF908,KMF,908,KMF,UTTT-OAKB
KMF909,KMF,909,KMF,OAKB-LTFM
KMF910,KMF,910,KMF,LTFM-OAKB
KMF911,KMF,911,KMF,OAKB-OMDB
KMF912,KMF,912,KMF,OMDB-OAKB
KMF915,KMF,915,KMF,OAKB-VIDP
KMF916,KMF,916,KMF,VIDP-OAKB
KMF934,KMF,934,KMF,VIDP-OAMS
KMF955,KMF,955,KMF,OAKB-UAAA
KMF956,KMF,956,KMF,UAAA-OAKB
KMF9909,KMF,9909,KMF,OAKB-LTFM
KMF991,KMF,991,KMF,OAKB-LTAC
KMF993,KMF,993,KMF,OAKB-OEJN
KMF9933,KMF,9933,KMF,OAKB-OEJN
KMF994,KMF,994,KMF,OEJN-OAKB
KMF9995,KMF,9995,KMF,OAKB-OERK
