Callsign,Code,Number,AirlineCode,AirportCodes
GXA1004,GXA,1004,GXA,KLNK-KMSP
GXA1005,GXA,1005,GXA,KMSP-KLNK
GXA199,GXA,199,GXA,KMIA-KCVG
GXA2964,GXA,2964,GXA,MKJP-KMIA
GXA2965,GXA,2965,GXA,KMIA-MKJP
GXA3139,GXA,3139,GXA,KMIA-MUHA
GXA3147,GXA,3147,GXA,KMIA-MUHA
GXA3392,GXA,3392,GXA,MUHA-KTPA
GXA3393,GXA,3393,GXA,KTPA-MUHA
GXA3911,GXA,3911,GXA,KMIA-MUHA
GXA3912,GXA,3912,GXA,MUHA-KMIA
GXA400,GXA,400,GXA,KSLC-KEWR
GXA401,GXA,401,GXA,KEWR-KSLC
GXA599,GXA,599,GXA,KCVG-KMIA
GXA6108,GXA,6108,GXA,KAEX-MNMG
GXA690,GXA,690,GXA,KMFE-MHLM
GXA691,GXA,691,GXA,MHLM-KMFE
