ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
06A1C6,A7-CGA,GLF6,Gulfstream Aerospace,G650 ER,Gulfstream Aerospace G650 ER,0,Qatar Executive,QQE,6153,2014
06A1C7,A7-CGB,GLF6,Gulfstream Aerospace,G650ER,Gulfstream Aerospace G650ER,0,Qatar Executive,QQE,6167,2015
06A1C8,A7-CGC,GLF6,Gulfstream Aerospace,G650 ER,Gulfstream Aerospace G650 ER,0,Qatar Executive,QQE,6179,2015
06A1C9,A7-CGD,GLF6,Gulfstream Aerospace,G650 ER,Gulfstream Aerospace G650 ER,0,Qatar Executive,QQE,6271,2016
06A1CA,A7-CGE,GLF6,Gulfstream Aerospace,G650ER,Gulfstream Aerospace G650ER,0,Qatar Executive,QQE,6301,2017
06A1CB,A7-CGF,GLF6,Gulfstream Aerospace,G650ER,Gulfstream Aerospace G650ER,0,Qatar Executive,QQE,6366,2018
06A1CC,A7-CGG,GLF6,Gulfstream Aerospace,G650ER,Gulfstream Aerospace G650ER,0,Qatar Executive,QQE,6401,2019
06A1CD,A7-CGH,GLF6,Gulfstream Aerospace,G650 ER,Gulfstream Aerospace G650 ER,0,Qatar Executive,QQE,6465,
06A1CE,A7-CGI,GLF6,Gulfstream,G650,Gulfstream G650,0,Qatar Executive,QQE,6467,2021
06A1CF,A7-CGJ,GLF6,Gulfstream Aerospace,G650,Gulfstream Aerospace G650,0,Qatar Executive,QQE,6468,
06A1D0,A7-CGL,GLF6,Gulfstream Aerospace,G650 ER,Gulfstream Aerospace G650 ER,0,Qatar Executive,QQE,6469,
06A1D1,A7-CGM,GLF6,Gulfstream Aerospace,G650 ER,Gulfstream Aerospace G650 ER,0,Qatar Executive,QQE,6471,
06A1D2,A7-CGN,GLF6,Gulfstream Aerospace,G650ER,Gulfstream G650ER,0,Qatar Executive,QQE,6490,
06A1D3,A7-CGO,GLF6,Gulfstream Aerospace,G650ER,Gulfstream Aerospace G650ER,0,Qatar Executive,QQE,6497,
06A1D4,A7-CGP,GA5C,Gulfstream Aerospace,GVII-G500,Gulfstream Aerospace GVII-G500,0,Qatar Executive,QQE,72011,2017
06A1D5,A7-CGQ,GA5C,Gulfstream Aerospace,GVII-G500,Gulfstream Aerospace GVII-G500,0,Qatar Executive,QQE,72015,2017
06A1D6,A7-CGR,GA5C,Gulfstream Aerospace,GVII-G500,Gulfstream Aerospace GVII-G500,0,Qatar Executive,QQE,72021,2017
06A1D7,A7-CGS,GA5C,Gulfstream Aerospace,GVII-G500,Gulfstream Aerospace GVII-G500,0,Qatar Executive,QQE,72029,2018
06A1D8,A7-CGT,GA5C,Gulfstream Aerospace,GVII-G500,Gulfstream Aerospace GVII-G500,0,Qatar Executive,QQE,72037,2018
06A1D9,A7-CGU,GLF6,Gulfstream,G650,Gulfstream G650,0,Qatar Executive,QQE,6511,
06A209,ZR501,EUFI,Eurofighter,Typhoon T,Eurofighter Typhoon T,0,Qatar Emiri Air Force,,MT007,2022
06A20A,QA401,EUFI,Eurofighter,2000,Eurofighter 2000,0,Qatar Emiri Air Force,,MT002,2022
06A211,ZR509,EUFI,Eurofighter,Typhoon EF2000,Eurofighter Typhoon EF2000,0,Qatar Emiri Air Force,,MS005,2022
06A2F2,A7-BHO,B789,Boeing,787-9 Dreamliner,Boeing 787-9 Dreamliner,0,Qatar Airways,QTR,64223,2021
06A30D,A7-BFZ,B77L,Boeing,777-F,Boeing 777-F,0,Qatar Airways,QTR,66872,2021
06A364,A7-ACS,A332,Airbus,A330-202,Airbus A330-202,0,Qatar Airways,QTR,760,2006
06A36C,A7-ACT,A332,Airbus,A330-202,Airbus A330-202,0,Qatar Airways,QTR,820,2007
06A372,A7-BOA,B77W,Boeing,777-367(ER),Boeing 777-367(ER),0,Qatar Airways,QTR,36159,2009
06A373,A7-BOB,B77W,Boeing,777-367(ER),Boeing 777-367(ER),0,Qatar Airways,QTR,36161,2009
06A374,A7-BOC,B77W,Boeing,777-367(ER),Boeing 777-367(ER),0,Qatar Airways,QTR,36164,2010
06A375,A7-BOD,B77W,Boeing,777-367(ER),Boeing 777-367(ER),0,Qatar Airways,QTR,36165,2009
06A383,A7-BBF,B77L,Boeing,777-2DZ(LR),Boeing 777-2DZ(LR),0,Qatar Airways,QTR,36018,2010
