Callsign,Code,Number,AirlineCode,AirportCodes
WSW101,WSW,101,WSW,CYHM-CYEG
WSW102,WSW,102,WSW,CYEG-CYHM
WSW104,WSW,104,WSW,CYEG-CYHM
WSW105,WSW,105,WSW,CYHM-CYEG
WSW106,WSW,106,WSW,CYXX-CYHM
WSW107,WSW,107,WSW,CYHM-CYXX
WSW109,WSW,109,WSW,CYHM-CYXX
WSW111,WSW,111,WSW,CYHM-CYWG
WSW112,WSW,112,WSW,CYHM-CYHZ
WSW113,WSW,113,WSW,CYHZ-CYHM
WSW114,WSW,114,WSW,CYHM-CYHZ
WSW115,WSW,115,WSW,CYHZ-CYHM
WSW118,WSW,118,WSW,CYXX-CYHM
WSW120,WSW,120,WSW,CYXX-CYEG
WSW127,WSW,127,WSW,CYHM-CYXX
WSW128,WSW,128,WSW,CYXX-CYHM
WSW147,WSW,147,WSW,CYHM-CYWG
WSW157,WSW,157,WSW,CYHM-CYLW
WSW160,WSW,160,WSW,CYHM-CYHZ
WSW161,WSW,161,WSW,CYHZ-CYHM
WSW162,WSW,162,WSW,CYHM-CYHZ
WSW163,WSW,163,WSW,CYXX-CYWG
WSW164,WSW,164,WSW,CYXX-CYWG
WSW166,WSW,166,WSW,CYHM-CYYT
WSW167,WSW,167,WSW,CYYT-CYHM
WSW168,WSW,168,WSW,CYHM-CYQM
WSW169,WSW,169,WSW,CYQM-CYHM
WSW170,WSW,170,WSW,CYHM-CYYG
WSW181,WSW,181,WSW,CYYZ-CYEG-CYXX
WSW182,WSW,182,WSW,CYXX-CYEG-CYYZ
WSW183,WSW,183,WSW,CYYZ-CYEG-CYXX
WSW185,WSW,185,WSW,CYHM-CYWG-CYLW
WSW187,WSW,187,WSW,CYYZ-CYEG-CYXX
WSW188,WSW,188,WSW,CYXX-CYEG-CYYZ
WSW189,WSW,189,WSW,CYYZ-CYEG-CYYJ
WSW190,WSW,190,WSW,CYYJ-CYEG-CYYZ
WSW198,WSW,198,WSW,CYEG-CYHM-CYHZ
WSW199,WSW,199,WSW,CYHZ-CYHM-CYEG
WSW201,WSW,201,WSW,CYEG-CYXX
WSW202,WSW,202,WSW,CYXX-CYEG
WSW203,WSW,203,WSW,CYEG-CYXX
WSW204,WSW,204,WSW,CYXX-CYEG
WSW208,WSW,208,WSW,CYXX-CYEG
WSW209,WSW,209,WSW,CYEG-CYYJ
WSW210,WSW,210,WSW,CYYJ-CYEG
WSW212,WSW,212,WSW,CYXX-CYLW
WSW215,WSW,215,WSW,CYHM-CYWG
WSW223,WSW,223,WSW,CYXU-CYXX
WSW2231,WSW,2231,WSW,CYXU-CYEG
WSW230,WSW,230,WSW,CYEG-CYXU
WSW231,WSW,231,WSW,CYXU-CYEG
WSW2313,WSW,2313,WSW,CYYZ-CYXX
WSW2320,WSW,2320,WSW,CYYJ-CYYZ
WSW2640,WSW,2640,WSW,CYYZ-MMUN
WSW2645,WSW,2645,WSW,MKJS-CYYZ
WSW267,WSW,267,WSW,CYEG-CYXX
WSW269,WSW,269,WSW,CYYZ-CYEG
WSW270,WSW,270,WSW,CYEG-CYYZ
WSW271,WSW,271,WSW,CYYZ-CYEG
WSW272,WSW,272,WSW,CYEG-CYYZ
WSW280,WSW,280,WSW,CYXX-CYEG-CYOW
WSW281,WSW,281,WSW,CYOW-CYEG-CYXX
WSW310,WSW,310,WSW,CYXX-CYYZ
WSW312,WSW,312,WSW,CYXX-CYYZ
WSW313,WSW,313,WSW,CYYZ-CYXX
WSW314,WSW,314,WSW,CYXX-CYYZ
WSW315,WSW,315,WSW,CYYZ-CYLW
WSW316,WSW,316,WSW,CYLW-CYYZ
WSW317,WSW,317,WSW,CYYZ-CYLW
WSW318,WSW,318,WSW,CYLW-CYYZ
WSW319,WSW,319,WSW,CYYZ-CYYJ
WSW320,WSW,320,WSW,CYYJ-CYYZ
WSW360,WSW,360,WSW,CYYZ-CYHZ
WSW361,WSW,361,WSW,CYHZ-CYYZ
WSW362,WSW,362,WSW,CYYZ-CYHZ
WSW368,WSW,368,WSW,CYYZ-CYYG
WSW370,WSW,370,WSW,CYYZ-CYDF
WSW402,WSW,402,WSW,CYXX-CYWG
WSW406,WSW,406,WSW,CYYZ-CYXX
WSW407,WSW,407,WSW,CYXX-CYYZ
WSW408,WSW,408,WSW,CYYZ-CYHZ
WSW409,WSW,409,WSW,CYHZ-CYYZ
WSW411,WSW,411,WSW,CYYZ-CYLW
WSW412,WSW,412,WSW,CYLW-CYYZ
WSW416,WSW,416,WSW,CYLW-CYWG
WSW418,WSW,418,WSW,CYYZ-CYLW
WSW422,WSW,422,WSW,CYYZ-CYXX
WSW424,WSW,424,WSW,CYYZ-CYYJ
WSW428,WSW,428,WSW,CYYZ-CYHZ
WSW429,WSW,429,WSW,CYHZ-CYYZ
WSW504,WSW,504,WSW,CYEG-CYWG
WSW505,WSW,505,WSW,CYWG-CYEG
WSW507,WSW,507,WSW,CYWG-CYEG
WSW508,WSW,508,WSW,CYEG-CYWG
WSW509,WSW,509,WSW,CYWG-CYEG
WSW515,WSW,515,WSW,CYHZ-CYHM
WSW517,WSW,517,WSW,CYHM-CYWG
WSW539,WSW,539,WSW,CYXU-CYEG
WSW580,WSW,580,WSW,CYWG-CYOW-CYHZ
WSW602,WSW,602,WSW,CYXX-MMPR
WSW604,WSW,604,WSW,CYHM-MDPC
WSW607,WSW,607,WSW,MMPR-CYXX
WSW612,WSW,612,WSW,CYEG-MMSD
WSW620,WSW,620,WSW,CYEG-MMPR
WSW621,WSW,621,WSW,MMPR-CYEG
WSW630,WSW,630,WSW,CYEG-MMUN
WSW638,WSW,638,WSW,CYYZ-MMUN
WSW639,WSW,639,WSW,MMUN-CYYZ
WSW640,WSW,640,WSW,CYWG-MMPR
WSW641,WSW,641,WSW,MMUN-CYYZ
WSW642,WSW,642,WSW,CYYZ-MDPC
WSW643,WSW,643,WSW,MDPC-CYYZ
WSW644,WSW,644,WSW,CYYZ-MKJS
WSW645,WSW,645,WSW,MKJS-CYYZ
WSW646,WSW,646,WSW,CYYZ-MKJP
WSW647,WSW,647,WSW,MKJP-CYYZ
WSW648,WSW,648,WSW,CYYZ-MMPR
WSW649,WSW,649,WSW,MMPR-CYYZ
WSW650,WSW,650,WSW,CYYZ-MMSD
WSW651,WSW,651,WSW,MMSD-CYYZ
WSW652,WSW,652,WSW,CYYZ-MUVR
WSW661,WSW,661,WSW,MMPR-CYHM
WSW663,WSW,663,WSW,MMMZ-CYXX
WSW670,WSW,670,WSW,CYYZ-MDPC
WSW675,WSW,675,WSW,MKJS-CYYZ
WSW701,WSW,701,WSW,KLAS-CYHM
WSW705,WSW,705,WSW,KLAS-CYXX
WSW709,WSW,709,WSW,KTPA-CYHM
WSW711,WSW,711,WSW,KMCO-CYHM
WSW714,WSW,714,WSW,CYEG-KLAS
WSW716,WSW,716,WSW,CYEG-KIWA
WSW717,WSW,717,WSW,KIWA-CYEG
WSW726,WSW,726,WSW,CYEG-KIWA
WSW729,WSW,729,WSW,KIWA-CYWG
WSW735,WSW,735,WSW,KMCO-CYXU
