Callsign,Code,Number,AirlineCode,AirportCodes
NBT1,NBT,1,NBT,ENGM-KJFK
NBT11,NBT,11,NBT,ENGM-KLAX
NBT12,NBT,12,NBT,KLAX-ENGM
NBT2,NBT,2,NBT,KJFK-ENGM
NBT21,NBT,21,NBT,ENGM-KFLL
NBT22,NBT,22,NBT,KFLL-ENGM
NBT2A,NBT,2A,NBT,ENGM-KFLL
NBT601,NBT,601,NBT,EDDB-KJFK
NBT602,NBT,602,NBT,KJFK-EDDB
NBT60B,NBT,60B,NBT,EDDB-KJFK
NBT60Y,NBT,60Y,NBT,KJFK-EDDB
NBT611,NBT,611,NBT,EDDB-KLAX
NBT612,NBT,612,NBT,KLAX-EDDB
NBT621,NBT,621,NBT,EDDB-KFLL
NBT622,NBT,622,NBT,KFLL-EDDB
NBT62C,NBT,62C,NBT,EDDB-KFLL
NBT62X,NBT,62X,NBT,KFLL-EDDB
NBT701,NBT,701,NBT,ENGM-EGKK-KJFK
NBT702,NBT,702,NBT,KJFK-EGKK-ENGM
NBT70D,NBT,70D,NBT,ENGM-EGKK
NBT70E,NBT,70E,NBT,EGKK-KJFK
NBT70V,NBT,70V,NBT,KJFK-EGKK
NBT70W,NBT,70W,NBT,KJFK-EGKK-ENGM
NBT81,NBT,81,NBT,ENGM-KMCO
NBT82,NBT,82,NBT,KMCO-ENGM
