Callsign,Code,Number,AirlineCode,AirportCodes
BVN7283,BVN,7283,BVN,KDRT-KSAT
BVN7356,BVN,7356,BVN,KHSV-KMEM
BVN7369,BVN,7369,BVN,KDHN-KMEM
BVN7522,BVN,7522,BVN,KTLH-KMCO
BVN7751,BVN,7751,BVN,KSJT-KAUS
BVN7752,BVN,7752,BVN,KSJT-KAUS
BVN7754,BVN,7754,BVN,KBWD-KAUS
BVN7756,BVN,7756,BVN,KROW-KLBB
BVN7793,BVN,7793,BVN,KABI-KLBB
BVN7809,BVN,7809,BVN,KROW-KLBB
BVN7844,BVN,7844,BVN,KABI-KLBB
BVN7850,BVN,7850,BVN,KDHN-KMEM
BVN8200,BVN,8200,BVN,KLBB-KABI
BVN8275,BVN,8275,BVN,KAFW-KICT
BVN8279,BVN,8279,BVN,KAFW-KAUS
BVN8280,BVN,8280,BVN,KAFW-KAUS
BVN8281,BVN,8281,BVN,KAFW-KAUS
BVN8283,BVN,8283,BVN,KSAT-KDRT
BVN8286,BVN,8286,BVN,KAFW-KMAF
BVN8366,BVN,8366,BVN,KMEM-KEVV
BVN8515,BVN,8515,BVN,KMEM-KCSG
BVN8520,BVN,8520,BVN,KMCO-KTLH
BVN8521,BVN,8521,BVN,KMCO-KTLH
BVN8522,BVN,8522,BVN,KMCO-KTLH
BVN8549,BVN,8549,BVN,KMEM-KHSV
BVN8554,BVN,8554,BVN,KOMA-KEAR
BVN8560,BVN,8560,BVN,KICT-KGCK
BVN8571,BVN,8571,BVN,KOMA-KEAR
BVN8575,BVN,8575,BVN,KOMA-KGRI
BVN8630,BVN,8630,BVN,KOMA-KLBF
BVN8751,BVN,8751,BVN,KAUS-KSJT
BVN8752,BVN,8752,BVN,KAUS-KSJT
BVN8754,BVN,8754,BVN,KAUS-KBWD
BVN8759,BVN,8759,BVN,KIAH-KCLL
BVN8760,BVN,8760,BVN,KAUS-KSJT
BVN8793,BVN,8793,BVN,KLBB-KABI
BVN8809,BVN,8809,BVN,KLBB-KROW
BVN8811,BVN,8811,BVN,KLBB-KABI
BVN8829,BVN,8829,BVN,KLBB-KABI
BVN8844,BVN,8844,BVN,KLBB-KABI
BVN8970,BVN,8970,BVN,KICT-KGCK
