ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
AE60E7,,V22,Bell-Boeing,V-22 Osprey,Bell-Boeing V-22 Osprey,0,United States Marine Corps,,,
AE6226,18-21026,H60,Sikorsky,UH-60M,Sikorsky UH-60M,0,United States Air Force,AIO,18-21026,
AE636E,18-21030,H60,Sikorsky,UH-60M,Sikorsky UH-60M,0,United States Army,,,
AE63B1,15-46069,B762,Boeing,KC-46A Pegasus,Boeing KC-46A Pegasus,0,United States Air Force,AIO,41986,2022
AE63B2,15-46070,B762,Boeing,KC-46A Pegasus,Boeing KC-46A Pegasus,0,Air Mobility Command,RCH,41890,2022
AE63B4,20-46072,B762,Boeing,KC-46A Pegasus (767-2C),Boeing KC-46A Pegasus (767-2C),0,United States Air Force,AIO,41892,2022
AE63B5,20-46073,B762,Boeing,KC-46A Pegasus (767-2C),Boeing KC-46A Pegasus (767-2C),0,United States Air Force,AIO,41893,2022
AE63B8,20-46076,B762,Boeing,KC-46A Pegasus (767-2C),Boeing KC-46A Pegasus (767-2C),0,United States Air Force,AIO,41896,2022
AE640B,11-0059,V22,Bell Boeing,CV-22B Osprey,Bell Boeing CV-22B Osprey,0,United States Air Force,AIO,D1039,
AE6481,19-21047,H60,Sikorsky,UH-60M Black Hawk,Sikorsky UH-60M Black Hawk,0,United States Army,,,
AE64BC,168684,V22,Bell-Boeing,V-22 Osprey,Bell-Boeing V-22 Osprey,0,United States Marine Corps,,,
AE6786,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE678F,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE6795,VARIOUS,P8,Boeing,P-8A Poseidon (737-800A),Boeing P-8A Poseidon (737-800A),0,United States Navy,CNV,,
AE6796,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE679D,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE67B1,VARIOUS,P8,Boeing,P-8A Poseidon (737-800A),Boeing P-8A Poseidon (737-800A),0,United States Navy,CNV,,
AE67B8,VARIOUS,P8,Boeing,P-8A Poseidon,Boeing P-8A Poseidon,0,United States Navy,CNV,,
AE67BD,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE67C9,VARIOUS,P8,Boeing,P-8A Poseidon,Boeing P-8A Poseidon,0,United States Navy,CNV,,
AE67D2,,P8,Boeing,P-8A Poseidon,Boeing P-8A Poseidon,0,United States Navy,CNV,,
AE67E8,VARIOUS,P8,Boeing,P-8A Poseidon (737-800A),Boeing P-8A Poseidon (737-800A),0,United States Navy,CNV,,
AE67FA,VARIOUS,P8,Boeing,P-8A Poseidon (737-8FV),Boeing P-8A Poseidon (737-8FV),0,United States Navy,CNV,,
AE6808,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE6811,,P8,Boeing,P-8A Poseidon,Boeing P-8A Poseidon,0,United States Navy,CNV,,
AE681C,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE6822,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE6834,,P8,Boeing,P-8A Poseidon,Boeing P-8A Poseidon,0,United States Navy,CNV,,
AE6842,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE6858,VARIOUS,P8,Boeing,P-8A Poseidon,Boeing P-8A Poseidon,0,United States Navy,CNV,,
AE686F,VARIOUS,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,,
AE6894,VARIOUS,P8,Boeing,P-8A Poseidon (737-8FV),Boeing P-8A Poseidon (737-8FV),0,United States Navy,CNV,,
AE6895,169332,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,62698,
AE689E,VARIOUS,P8,Boeing,P-8A Poseidon,Boeing P-8A Poseidon,0,United States Navy,CNV,,
AE6917,18-5919,C30J,Lockheed Martin,C-130J-30 Hercules,Lockheed Martin C-130J-30 Hercules,0,United States Air Force,AIO,382-5919,
AE6959,19-5927,C30J,Lockheed Martin,C-130J-30 Hercules,Lockheed Martin C-130J-30 Hercules,0,United States Air Force,AIO,382-5927,2021
AE695C,19-5934,C30J,Lockheed Martin,C-130J-30 Hercules,Lockheed Martin C-130J-30 Hercules,0,United States Air Force,AIO,382-5934,
AE695D,19-5936,C30J,Lockheed Martin,C-130J-30 Hercules,Lockheed Martin C-130J-30 Hercules,0,United States Air Force,AIO,382-5936,2019
AE695F,19-5942,C130,Lockheed,C-130J-30 Hercules,Lockheed C-130J-30 Hercules,0,United States Air Force,AIO,5942,
AE6A15,170040,C30J,Lockheed,KC-130J Hercules,Lockheed KC-130J Hercules,0,United States Marine Corps,,5918S,
AE6A3A,170013,P8,Boeing,P-8 Poseidon,Boeing P-8 Poseidon,0,United States Navy,CNV,66976,2022
AE6A6D,79-1711,DC10,McDonnell Douglas,KC-10A Extender,McDonnell Douglas KC-10A Extender,0,United States Air Force,AIO,48203,
AE6A83,20-21149,H60,Sikorsky,UH-60M,Sikorsky UH-60M,0,United States Air Force,AIO,20-21149,
AE6B84,16-0076,V22,Boeing,CV-22B Osprey,Boeing CV-22B Osprey,0,United States Air Force,AIO,D1057,
AE6BA8,169455,V22,Bell-Boeing,CMV-22B Osprey,Bell-Boeing CMV-22B Osprey,0,US Navy,,,
AE6BC9,13-20638,H60,Sikorsky,MH-60M,Sikorsky MH-60M,0,United States Army,,,
AE6BD3,85-0064,B1,Rockwell,B-1B Lancer,Rockwell B-1B Lancer,0,United States Air Force,AIO,24,
AE6BEE,86-0105,B1,Rockwell,B-1B Lancer,Rockwell B-1B Lancer,0,United States Air Force,AIO,65,1986
AE6BF9,86-0119,B1,Rockwell,B-1B Lancer,Rockwell B-1B Lancer,0,Air Mobility Command,RCH,79,1986
AE6C14,170272,C30J,Lockheed,KC-130J Hercules,Lockheed KC-130J Hercules,0,United States Marine Corps,,5925,
AE6C15,170273,C30J,Lockheed,KC-130J Hercules,Lockheed KC-130J Hercules,0,United States - Marine Corps,,5929,
AE6C16,170724,C30J,Lockheed,KC-130J Hercules,Lockheed KC-130J Hercules,0,United States Marine Corps,,5929,2022
AE6CF1,20-1941,GLF5,Gulfstream,C-37B,Gulfstream C-37B,0,United States Air Force,AIO,5613,
AE6CF2,20-1949,GLF5,Gulfstream,Aerospace C-37B,Gulfstream Aerospace C-37B,0,United States Air Force,AIO,5614,2022
AE6D7A,20-5941,C30J,Lockheed,MC-130J Hercules,Lockheed MC-130J Hercules,0,United States Air Force,AIO,5941,
