Callsign,Code,Number,AirlineCode,AirportCodes
DKH1006,DKH,1006,DKH,ZUCK-ZSPD
DKH1007,DKH,1007,DKH,ZSPD-ZLXY-ZLZW
DKH1008,DKH,1008,DKH,ZLZW-ZLXY-ZSPD
DKH1009,DKH,1009,DKH,ZSPD-ZLXY-ZLGY
DKH1010,DKH,1010,DKH,ZLGY-ZLXY-ZSPD
DKH1011,DKH,1011,DKH,ZSPD-ZBTJ-ZYBS
DKH1012,DKH,1012,DKH,ZYBS-ZBTJ-ZSPD
DKH1013,DKH,1013,DKH,ZSPD-ZGSG-ZGNN
DKH1014,DKH,1014,DKH,ZGNN-ZGSG-ZSPD
DKH1015,DKH,1015,DKH,ZSPD-ZGNN
DKH1016,DKH,1016,DKH,ZGNN-ZSPD
DKH1017,DKH,1017,DKH,ZSPD-ZPPP
DKH1018,DKH,1018,DKH,ZPPP-ZSPD
DKH1019,DKH,1019,DKH,ZSPD-ZPPP
DKH1020,DKH,1020,DKH,ZPPP-ZSPD
DKH1021,DKH,1021,DKH,ZSPD-ZLHZ
DKH1022,DKH,1022,DKH,ZLHZ-ZSPD
DKH1023,DKH,1023,DKH,ZSNJ-ZSAM
DKH1024,DKH,1024,DKH,ZUPS-ZSPD
DKH1025,DKH,1025,DKH,ZSPD-ZUMY
DKH1026,DKH,1026,DKH,ZUMY-ZSPD
DKH1027,DKH,1027,DKH,ZSSS-ZGGG
DKH1028,DKH,1028,DKH,ZGGG-ZSSS
DKH1029,DKH,1029,DKH,ZSPD-ZUYB
DKH1031,DKH,1031,DKH,ZSPD-ZBLF
DKH1032,DKH,1032,DKH,ZBLF-ZSPD
DKH1033,DKH,1033,DKH,ZSPD-ZPJH
DKH1034,DKH,1034,DKH,ZPJH-ZSPD
DKH1035,DKH,1035,DKH,ZSPD-ZBCF
DKH1036,DKH,1036,DKH,ZBCF-ZSPD-ZGSD
DKH1037,DKH,1037,DKH,ZSSS-ZGGG
DKH1038,DKH,1038,DKH,ZGGG-ZSSS
DKH1039,DKH,1039,DKH,ZSPD-ZUTR-ZGNN
DKH1040,DKH,1040,DKH,ZGNN-ZUTR-ZSPD
DKH1041,DKH,1041,DKH,ZSPD-ZLLN-ZLLL
DKH1042,DKH,1042,DKH,ZLLL-ZLLN-ZSPD
DKH1043,DKH,1043,DKH,ZSPD-ZULZ
DKH1044,DKH,1044,DKH,ZULZ-ZSPD-ZYCC
DKH1045,DKH,1045,DKH,ZSSS-ZGGG
DKH1046,DKH,1046,DKH,ZGGG-ZSSS
DKH1047,DKH,1047,DKH,ZSPD-ZGDY
DKH1048,DKH,1048,DKH,ZGDY-ZSPD
DKH1049,DKH,1049,DKH,ZSPD-ZHCC
DKH1050,DKH,1050,DKH,ZHCC-ZSPD
DKH1051,DKH,1051,DKH,ZSSS-ZGSZ
DKH1052,DKH,1052,DKH,ZLLL-ZSPD
DKH1054,DKH,1054,DKH,ZUCK-ZSPD
DKH1055,DKH,1055,DKH,ZSPD-ZYYK
DKH1056,DKH,1056,DKH,ZPLJ-ZUGY-ZSHC
DKH1059,DKH,1059,DKH,ZSSS-ZUTF
DKH1060,DKH,1060,DKH,ZUTF-ZSSS
DKH1061,DKH,1061,DKH,ZSPD-ZPPP
DKH1062,DKH,1062,DKH,ZHXF-ZSPD
DKH1063,DKH,1063,DKH,ZSSS-ZHXF
DKH1064,DKH,1064,DKH,ZHXF-ZSSS
DKH1065,DKH,1065,DKH,ZSPD-ZLYL
DKH1066,DKH,1066,DKH,ZLYL-ZSPD
DKH1067,DKH,1067,DKH,ZSPD-ZHYC
DKH1068,DKH,1068,DKH,ZHYC-ZSPD
DKH1069,DKH,1069,DKH,ZSPD-ZHCC-ZBOW
DKH1070,DKH,1070,DKH,ZBOW-ZHCC-ZSPD
DKH1071,DKH,1071,DKH,ZSPD-ZGHA-ZPLJ
DKH1072,DKH,1072,DKH,ZPLJ-ZGHA-ZSPD
DKH1073,DKH,1073,DKH,ZSSS-ZHHH-ZPJH
DKH1074,DKH,1074,DKH,ZPJH-ZHHH-ZSPD
DKH1075,DKH,1075,DKH,ZSPD-ZSQD-ZYCC
DKH1076,DKH,1076,DKH,ZYCC-ZSQD-ZSSS
DKH1077,DKH,1077,DKH,ZSSS-ZGGG
DKH1078,DKH,1078,DKH,ZGGG-ZSSS
DKH1079,DKH,1079,DKH,ZSPD-ZGLG-ZPPP
DKH1080,DKH,1080,DKH,ZPPP-ZGLG-ZSPD
DKH1081,DKH,1081,DKH,ZSPD-ZLIC
DKH1082,DKH,1082,DKH,ZLIC-ZSPD
DKH1085,DKH,1085,DKH,ZSSS-ZUMT
DKH1086,DKH,1086,DKH,ZUMT-ZSSS
DKH1089,DKH,1089,DKH,ZSPD-ZHCC-ZBYZ
DKH1090,DKH,1090,DKH,ZHCC-ZSPD
DKH1091,DKH,1091,DKH,ZSPD-ZGHZ
DKH1092,DKH,1092,DKH,ZGHZ-ZSPD
DKH1093,DKH,1093,DKH,ZSPD-ZGYY-ZPPP
DKH1094,DKH,1094,DKH,ZPPP-ZGYY-ZSPD
DKH1095,DKH,1095,DKH,ZSPD-ZUBJ
DKH1096,DKH,1096,DKH,ZPPP-ZUBJ-ZSSS
DKH1097,DKH,1097,DKH,ZSSS-ZUUU
DKH1098,DKH,1098,DKH,ZUUU-ZSSS
DKH1099,DKH,1099,DKH,ZSPD-ZPPP
DKH1100,DKH,1100,DKH,ZPPP-ZSPD
DKH1101,DKH,1101,DKH,ZSPD-ZLLL-ZLJC
DKH1102,DKH,1102,DKH,ZLJC-ZLLL-ZSPD
DKH1103,DKH,1103,DKH,ZSPD-ZLLL-ZLZY
DKH1104,DKH,1104,DKH,ZLZY-ZLLL-ZSPD
DKH1105,DKH,1105,DKH,ZSPD-ZSAM
DKH1106,DKH,1106,DKH,ZSAM-ZSPD
DKH1107,DKH,1107,DKH,ZSSS-ZSAM
DKH1108,DKH,1108,DKH,ZSAM-ZSSS
DKH1109,DKH,1109,DKH,ZSPD-ZSSM-ZGSZ
DKH1110,DKH,1110,DKH,ZGSZ-ZSSM-ZSPD
DKH1111,DKH,1111,DKH,ZSSS-ZGSZ
DKH1112,DKH,1112,DKH,ZGSZ-ZSSS
DKH1114,DKH,1114,DKH,ZPJH-ZSJH-ZSSS
DKH1118,DKH,1118,DKH,ZPPP-ZGSY-ZSPD
DKH1119,DKH,1119,DKH,ZSSS-ZUUU
DKH1120,DKH,1120,DKH,ZUUU-ZSSS
DKH1121,DKH,1121,DKH,ZSPD-ZPPP
DKH1122,DKH,1122,DKH,ZPPP-ZSSS
DKH1123,DKH,1123,DKH,ZSSS-ZGHA
DKH1124,DKH,1124,DKH,ZGHA-ZSSS
DKH1125,DKH,1125,DKH,ZSSS-ZGHA
DKH1126,DKH,1126,DKH,ZGHA-ZSSS
DKH1127,DKH,1127,DKH,ZSSS-ZJSY
DKH1128,DKH,1128,DKH,ZJSY-ZSSS
DKH1129,DKH,1129,DKH,ZSSS-ZJSY
DKH1130,DKH,1130,DKH,ZJSY-ZSSS
DKH1131,DKH,1131,DKH,ZSPD-ZBYN
DKH1132,DKH,1132,DKH,ZBYN-ZSPD
DKH1133,DKH,1133,DKH,ZSSS-ZBYN
DKH1134,DKH,1134,DKH,ZBYN-ZSSS
DKH1135,DKH,1135,DKH,ZSPD-ZBTJ-ZYBS
DKH1136,DKH,1136,DKH,ZBTJ-ZSPD
DKH1137,DKH,1137,DKH,ZSPD-ZYHB
DKH1138,DKH,1138,DKH,ZYHB-ZSPD
DKH1139,DKH,1139,DKH,ZSPD-ZBCZ
DKH1140,DKH,1140,DKH,ZBCZ-ZSPD
DKH1141,DKH,1141,DKH,ZSPD-ZUGY
DKH1142,DKH,1142,DKH,ZUGY-ZSPD
DKH1143,DKH,1143,DKH,ZSPD-ZUGY
DKH1144,DKH,1144,DKH,ZUGY-ZSSS
DKH1145,DKH,1145,DKH,ZSPD-ZSLD
DKH1146,DKH,1146,DKH,ZSLD-ZSPD
DKH1147,DKH,1147,DKH,ZSPD-ZGKL
DKH1148,DKH,1148,DKH,ZGKL-ZSPD
DKH1149,DKH,1149,DKH,ZSPD-ZGBH
DKH1150,DKH,1150,DKH,ZGBH-ZSPD
DKH1151,DKH,1151,DKH,ZSSS-ZGSZ
DKH1152,DKH,1152,DKH,ZGSZ-ZSSS
DKH1153,DKH,1153,DKH,ZSPD-ZGKL
