Callsign,Code,Number,AirlineCode,AirportCodes
JZR1,JZR,1,JZR,OKKK-EGKK
JZR1001,JZR,1001,JZR,OKKK-EGKK
JZR102,JZR,102,JZR,OBBI-OKKK
JZR103,JZR,103,JZR,OKKK-OBBI
JZR104,JZR,104,JZR,OBBI-OKKK
JZR1101,JZR,1101,JZR,OKKK-OBBI
JZR1103,JZR,1103,JZR,OKKK-OBBI
JZR1104,JZR,1104,JZR,OBBI-OKKK
JZR1139,JZR,1139,JZR,OKKK-ORNI
JZR1141,JZR,1141,JZR,OKKK-ORNI
JZR1142,JZR,1142,JZR,ORNI-OKKK
JZR1146,JZR,1146,JZR,ORNI-OKKK
JZR1148,JZR,1148,JZR,ORNI-OKKK
JZR115,JZR,115,JZR,OKKK-OTHH
JZR1153,JZR,1153,JZR,OKKK-OIMM
JZR116,JZR,116,JZR,OTHH-OKKK
JZR1162,JZR,1162,JZR,OIFM-OKKK
JZR119,JZR,119,JZR,OKKK-OMDB
JZR120,JZR,120,JZR,OMDB-OKKK
JZR121,JZR,121,JZR,OKKK-OMDB
JZR1211,JZR,1211,JZR,OKKK-OEJN
JZR1212,JZR,1212,JZR,OEJN-OKKK
JZR1213,JZR,1213,JZR,OKKK-OEJN
JZR1214,JZR,1214,JZR,OEJN-OKKK
JZR1215,JZR,1215,JZR,OKKK-OEJN
JZR1216,JZR,1216,JZR,OEJN-OKKK
JZR1217,JZR,1217,JZR,OKKK-OEJN
JZR1218,JZR,1218,JZR,OEJN-OKKK
JZR1219,JZR,1219,JZR,OKKK-OEJN
JZR122,JZR,122,JZR,OMDB-OKKK
JZR1220,JZR,1220,JZR,OEJN-OKKK
JZR1221,JZR,1221,JZR,OKKK-OERK
JZR1222,JZR,1222,JZR,OERK-OKKK
JZR123,JZR,123,JZR,OKKK-OMDB
JZR1231,JZR,1231,JZR,OKKK-OEDF
JZR1232,JZR,1232,JZR,OEDF-OKKK
JZR1233,JZR,1233,JZR,OKKK-OEDF
JZR1234,JZR,1234,JZR,OEDF-OKKK
JZR1236,JZR,1236,JZR,OEDF-OKKK
JZR124,JZR,124,JZR,OMDB-OKKK
JZR1241,JZR,1241,JZR,OKKK-OEMA
JZR1242,JZR,1242,JZR,OEMA-OKKK
JZR1243,JZR,1243,JZR,OKKK-OEMA
JZR1244,JZR,1244,JZR,OEMA-OKKK
JZR1245,JZR,1245,JZR,OKKK-OEMA
JZR1246,JZR,1246,JZR,OEMA-OKKK
JZR125,JZR,125,JZR,OKKK-OMDB
JZR126,JZR,126,JZR,OMDB-OKKK
JZR127,JZR,127,JZR,OKKK-OMDB
JZR128,JZR,128,JZR,OMDB-OKKK
JZR1301,JZR,1301,JZR,OKKK-LTFM
JZR1306,JZR,1306,JZR,LTFJ-OKKK
JZR1311,JZR,1311,JZR,OKKK-LTCG
JZR1312,JZR,1312,JZR,LTCG-OKKK
JZR1313,JZR,1313,JZR,OKKK-LTCG
JZR1314,JZR,1314,JZR,LTCG-OKKK
JZR1335,JZR,1335,JZR,OKKK-UUDD
JZR133P,JZR,133P,JZR,OKKK-RORS
JZR1401,JZR,1401,JZR,OKKK-VABB
JZR1402,JZR,1402,JZR,VABB-OKKK
JZR1403,JZR,1403,JZR,OKKK-VOHS
JZR1404,JZR,1404,JZR,VOHS-OKKK
JZR1405,JZR,1405,JZR,OKKK-VOCI
JZR1406,JZR,1406,JZR,VOCI-OKKK
JZR1409,JZR,1409,JZR,OKKK-VIDP
JZR141,JZR,141,JZR,OKKK-ORNI
JZR1410,JZR,1410,JZR,VIDP-OKKK
JZR142,JZR,142,JZR,ORNI-OKKK
JZR1427,JZR,1427,JZR,OKKK-VOMM
JZR1428,JZR,1428,JZR,VOMM-OKKK
JZR143,JZR,143,JZR,OKKK-ORNI
JZR144,JZR,144,JZR,ORNI-OKKK
JZR151,JZR,151,JZR,OKKK-OIMM
JZR152,JZR,152,JZR,OIMM-OKKK
JZR153,JZR,153,JZR,OKKK-OIMM
JZR1539,JZR,1539,JZR,OKKK-VNKT
JZR154,JZR,154,JZR,OIMM-OKKK
JZR1540,JZR,1540,JZR,VNKT-OKKK
JZR1542,JZR,1542,JZR,VNKT-OKKK
JZR155,JZR,155,JZR,OKKK-OIIE
JZR156,JZR,156,JZR,OIIE-OKKK
JZR161,JZR,161,JZR,OKKK-OOMS
JZR162,JZR,162,JZR,OOMS-OKKK
JZR1635,JZR,1635,JZR,OKKK-UAIT
JZR1645,JZR,1645,JZR,OKKK-UTFN
JZR1646,JZR,1646,JZR,UTFN-OKKK
JZR165,JZR,165,JZR,OKKK-OOSA
JZR1653,JZR,1653,JZR,OKKK-UCFO
JZR1703,JZR,1703,JZR,OKKK-HEAT
JZR1707,JZR,1707,JZR,OKKK-HELX
JZR1708,JZR,1708,JZR,HELX-OKKK
JZR1713,JZR,1713,JZR,OKKK-HESG
JZR1721,JZR,1721,JZR,OKKK-HEBA
JZR1722,JZR,1722,JZR,HEBA-OKKK
JZR1723,JZR,1723,JZR,OKKK-HEBA
JZR1733,JZR,1733,JZR,OKKK-HECA
JZR181,JZR,181,JZR,OKKK-OISS
JZR1871,JZR,1871,JZR,OKKK-UCFO
JZR1885,JZR,1885,JZR,OKKK-UCFO
JZR1886,JZR,1886,JZR,UCFO-OKKK
JZR2,JZR,2,JZR,EGKK-OKKK
JZR205,JZR,205,JZR,OKKK-OEJN
JZR206,JZR,206,JZR,OEJN-OKKK
JZR207,JZR,207,JZR,OKKK-OEJN
JZR208,JZR,208,JZR,OEJN-OKKK
JZR209,JZR,209,JZR,OKKK-OEJN
JZR21,JZR,21,JZR,OKKK-LOWW
JZR210,JZR,210,JZR,OEJN-OKKK
JZR211,JZR,211,JZR,OKKK-OEJN
JZR212,JZR,212,JZR,OEJN-OKKK
JZR213,JZR,213,JZR,OKKK-OEJN
JZR214,JZR,214,JZR,OEJN-OKKK
JZR215,JZR,215,JZR,OKKK-OEJN
JZR216,JZR,216,JZR,OEJN-OKKK
JZR217,JZR,217,JZR,OKKK-OEJN
JZR218,JZR,218,JZR,OEJN-OKKK
JZR219,JZR,219,JZR,OKKK-OEJN
JZR22,JZR,22,JZR,LOWW-OKKK
JZR220,JZR,220,JZR,OEJN-OKKK
JZR221,JZR,221,JZR,OKKK-OERK
JZR222,JZR,222,JZR,OERK-OKKK
JZR223,JZR,223,JZR,OKKK-OERK
JZR224,JZR,224,JZR,OERK-OKKK
JZR231,JZR,231,JZR,OKKK-OEDF
JZR232,JZR,232,JZR,OEDF-OKKK
JZR233,JZR,233,JZR,OKKK-OEDF
JZR234,JZR,234,JZR,OEDF-OKKK
JZR235,JZR,235,JZR,OKKK-OEDF
JZR236,JZR,236,JZR,OEDF-OKKK
JZR237,JZR,237,JZR,OKKK-OEAB
JZR238,JZR,238,JZR,OEAB-OKKK
JZR239,JZR,239,JZR,OKKK-OETF
JZR240,JZR,240,JZR,OETF-OKKK
JZR241,JZR,241,JZR,OKKK-OEMA
JZR242,JZR,242,JZR,OEMA-OKKK
JZR243,JZR,243,JZR,OKKK-OEMA
JZR244,JZR,244,JZR,OEMA-OKKK
JZR245,JZR,245,JZR,OKKK-OEMA
JZR246,JZR,246,JZR,OEMA-OKKK
JZR247,JZR,247,JZR,OKKK-OEGS
JZR248,JZR,248,JZR,OEGS-OKKK
JZR249,JZR,249,JZR,OKKK-OEHL
JZR250,JZR,250,JZR,OEHL-OKKK
JZR251,JZR,251,JZR,OKKK-OJAI
JZR252,JZR,252,JZR,OJAI-OKKK
JZR253,JZR,253,JZR,OKKK-OJAI
JZR254,JZR,254,JZR,OJAI-OKKK
JZR256,JZR,256,JZR,OKKK-OLBA
JZR257,JZR,257,JZR,OLBA-OKKK
JZR261,JZR,261,JZR,OKKK-OLBA
JZR262,JZR,262,JZR,OLBA-OKKK
JZR266,JZR,266,JZR,OKKK-OLBA
JZR267,JZR,267,JZR,OLBA-OKKK
JZR279,JZR,279,JZR,OKKK-OEMA
JZR280,JZR,280,JZR,OEMA-OKKK
JZR301,JZR,301,JZR,OKKK-LTFM
JZR302,JZR,302,JZR,LTFM-OKKK
JZR303,JZR,303,JZR,OKKK-LTFM
JZR304,JZR,304,JZR,LTFM-OKKK
JZR305,JZR,305,JZR,OKKK-LTFJ
JZR306,JZR,306,JZR,LTFJ-OKKK
JZR309,JZR,309,JZR,OKKK-LTFE
JZR310,JZR,310,JZR,LTFE-OKKK
JZR311,JZR,311,JZR,OKKK-LTCG
JZR312,JZR,312,JZR,LTCG-OKKK
JZR313,JZR,313,JZR,OKKK-LTCG
JZR314,JZR,314,JZR,LTCG-OKKK
JZR315,JZR,315,JZR,OKKK-LTAI
JZR316,JZR,316,JZR,LTAI-OKKK
JZR327,JZR,327,JZR,OKKK-LQSA
JZR328,JZR,328,JZR,LQSA-OKKK
JZR335,JZR,335,JZR,OKKK-UUDD
JZR336,JZR,336,JZR,UUDD-OKKK
JZR345,JZR,345,JZR,OKKK-LCLK
JZR346,JZR,346,JZR,LCLK-OKKK
JZR363,JZR,363,JZR,OKKK-LYBE
JZR364,JZR,364,JZR,LYBE-OKKK
JZR367,JZR,367,JZR,OKKK-LYTV
JZR368,JZR,368,JZR,LYTV-OKKK
JZR369,JZR,369,JZR,OKKK-LATI
JZR37,JZR,37,JZR,OKKK-LKPR
JZR370,JZR,370,JZR,LATI-OKKK
JZR38,JZR,38,JZR,LKPR-OKKK
JZR401,JZR,401,JZR,OKKK-VABB
JZR402,JZR,402,JZR,VABB-OKKK
JZR403,JZR,403,JZR,OKKK-VOHS
JZR404,JZR,404,JZR,VOHS-OKKK
JZR405,JZR,405,JZR,OKKK-VOCI
JZR406,JZR,406,JZR,VOCI-OKKK
JZR408,JZR,408,JZR,VAAH-OKKK
JZR409,JZR,409,JZR,OKKK-VIDP
JZR410,JZR,410,JZR,VIDP-OKKK
JZR411,JZR,411,JZR,OKKK-VOTV
JZR427,JZR,427,JZR,OKKK-VOMM
JZR428,JZR,428,JZR,VOMM-OKKK
JZR431,JZR,431,JZR,OKKK-VOBL
JZR432,JZR,432,JZR,VOBL-OKKK
JZR482,JZR,482,JZR,OKKK-LTBA
JZR483,JZR,483,JZR,LTBA-OKKK
JZR501,JZR,501,JZR,OKKK-OPLA
JZR502,JZR,502,JZR,OPLA-OKKK
JZR507,JZR,507,JZR,OKKK-OPKC
JZR508,JZR,508,JZR,OPKC-OKKK
JZR511,JZR,511,JZR,OKKK-OPIS
JZR531,JZR,531,JZR,OKKK-VGHS
JZR532,JZR,532,JZR,VGHS-OKKK
JZR533,JZR,533,JZR,OKKK-VGHS
JZR534,JZR,534,JZR,VGHS-OKKK
JZR535,JZR,535,JZR,OKKK-VGEG
JZR536,JZR,536,JZR,VGEG-OKKK
JZR539,JZR,539,JZR,OKKK-VNKT
JZR540,JZR,540,JZR,VNKT-OKKK
JZR551,JZR,551,JZR,OKKK-VCBI
JZR552,JZR,552,JZR,VCBI-OKKK
JZR555,JZR,555,JZR,OKKK-VCBI
JZR556,JZR,556,JZR,VCBI-OKKK
JZR601,JZR,601,JZR,OKKK-UBBB
JZR602,JZR,602,JZR,UBBB-OKKK
JZR611,JZR,611,JZR,OKKK-UGTB
JZR612,JZR,612,JZR,UGTB-OKKK
JZR631,JZR,631,JZR,OKKK-UTDD
JZR632,JZR,632,JZR,UTDD-OKKK
JZR635,JZR,635,JZR,OKKK-UAIT
JZR636,JZR,636,JZR,UAIT-OKKK
JZR637,JZR,637,JZR,OKKK-UAAA
JZR638,JZR,638,JZR,UAAA-OKKK
JZR639,JZR,639,JZR,OKKK-UAAA
JZR640,JZR,640,JZR,UAAA-OKKK
JZR645,JZR,645,JZR,OKKK-UTFN
JZR649,JZR,649,JZR,OKKK-UTTT
JZR650,JZR,650,JZR,UTTT-OKKK
JZR653,JZR,653,JZR,OKKK-UCFO
JZR654,JZR,654,JZR,UCFO-OKKK
JZR655,JZR,655,JZR,OKKK-UCFM
JZR656,JZR,656,JZR,UCFM-OKKK
JZR658,JZR,658,JZR,UCFM-OKKK
JZR7,JZR,7,JZR,OKKK-EGLL
JZR701,JZR,701,JZR,OKKK-HEAT
JZR702,JZR,702,JZR,HEAT-OKKK
JZR712,JZR,712,JZR,HESG-OKKK
JZR713,JZR,713,JZR,OKKK-HESG
JZR714,JZR,714,JZR,HESG-OKKK
JZR715,JZR,715,JZR,OKKK-HESG
JZR716,JZR,716,JZR,HESG-OKKK
JZR721,JZR,721,JZR,OKKK-HEBA
JZR722,JZR,722,JZR,HEBA-OKKK
JZR723,JZR,723,JZR,OKKK-HEBA
JZR724,JZR,724,JZR,HEBA-OKKK
JZR725,JZR,725,JZR,OKKK-HEBA
JZR726,JZR,726,JZR,HEBA-OKKK
JZR731,JZR,731,JZR,OKKK-HECA
JZR732,JZR,732,JZR,HECA-OKKK
JZR733,JZR,733,JZR,OKKK-HECA
JZR734,JZR,734,JZR,HECA-OKKK
JZR735,JZR,735,JZR,OKKK-HECA
JZR736,JZR,736,JZR,HECA-OKKK
JZR737,JZR,737,JZR,OKKK-HECA
JZR738,JZR,738,JZR,HECA-OKKK
JZR741,JZR,741,JZR,OKKK-HESX
JZR742,JZR,742,JZR,HESX-OKKK
JZR745,JZR,745,JZR,OKKK-HESH
JZR746,JZR,746,JZR,HESH-OKKK
JZR781,JZR,781,JZR,OKKK-HAAB
JZR782,JZR,782,JZR,HAAB-OKKK
JZR8,JZR,8,JZR,EGLL-OKKK
JZR8507,JZR,8507,JZR,OKKK-OPKC
JZR8508,JZR,8508,JZR,OPKC-OKKK
